alpha,y_window,n,p_rel_l2,q_rel_l2,p_max_abs_err,q_max_abs_err,p_rmse,q_rmse,p_error_energy_fraction,q_error_energy_fraction,qdef_reference_rel_l2,qdef_prediction_rel_l2,dp_pred_vs_q_ref_rel_l2
0.07,5.0,3289,0.00020680896225327048,0.0010692281119986222,0.00012922767171755106,5.621608012008683e-05,6.337967529869456e-05,2.7810872072097813e-05,1.368345939484374e-05,0.0004622157318979281,0.0,0.00682852396070601,0.006708475377340518
0.07,10.0,3807,0.00020501660848021123,0.0010490292903764069,0.00012922767171755106,5.621608012008683e-05,6.246096618319649e-05,2.848911572176563e-05,1.5382689964833618e-05,0.0005614259082157518,0.0,0.0061659614727599356,0.006031458557358081
0.07,20.0,4101,0.00026291344786013654,0.0011781573467329774,0.0004656671142753793,0.00014987159454661757,7.958031995059906e-05,3.249284159675782e-05,2.689881484435622e-05,0.0007867138406927855,0.0,0.00592768850306875,0.005769214843616486
0.07,50.0,4289,0.00036209646019006483,0.0013298966475469667,0.0015231358018853462,0.0001779655584734239,0.00010873009342688896,3.686627616023115e-05,5.251550947282825e-05,0.001059171350489866,0.0,0.005934648075239709,0.005790957037738029
0.07,100.0,4354,0.0005295166444475948,0.0015548538226405734,0.002953075460770302,0.0006695493507246172,0.00015826610364126775,4.306276630594244e-05,0.00011295260731820888,0.0014670466009087152,0.0,0.00601944570245263,0.005843767775889383
0.07,500.0,4407,0.0011576065226143815,0.0032545481547410424,0.0064858261746843955,0.0022818996601075133,0.0003442022284728122,8.972216596818176e-05,0.0005407573367747613,0.006446057628422119,0.0,0.006763796127682214,0.005918301221177369
0.07,2000.0,4418,0.0024421067961117628,0.0033426392981141724,0.028638487758283,0.0022818996601075133,0.0007252330024889292,9.203589665608919e-05,0.0024066494931050684,0.00679973271709037,0.0,0.006800301744955851,0.005919476591297197
0.0725,5.0,3289,0.00019053101159953044,0.0007873545183010044,9.77730730200824e-05,5.155861103912663e-05,5.8370430143233334e-05,2.1234211311294167e-05,1.160597619326966e-05,0.00026945595009212584,0.0,0.0055416837532549085,0.005524051229934232
0.0725,10.0,3807,0.00019325961885235628,0.0008442992024873376,0.0001223237542695365,6.667814102498526e-05,5.883989061468882e-05,2.3769375506835782e-05,1.3650815743023682e-05,0.00039081394779693414,0.0,0.005019857713555739,0.004977913617387094
0.0725,20.0,4101,0.00022167736814501955,0.0009029302106021347,0.00032924984727105745,9.887642848011892e-05,6.703286196594172e-05,2.5809872415162694e-05,1.908522602781554e-05,0.0004963786796553206,0.0,0.004813128480847436,0.004745903497400372
0.0725,50.0,4289,0.0004060502519645836,0.0010155711176157516,0.001255191726946517,0.0001845641075505648,0.00012177112367428693,2.917222169209756e-05,6.586833535132657e-05,0.0006632033199627555,0.0,0.004862987398732298,0.0048080680715793635
0.0725,100.0,4354,0.0005129905441878107,0.0012219674703254605,0.0019096846085778821,0.0006287872554152294,0.00015311175377055603,3.506381189506217e-05,0.00010571521592400952,0.0009726538610746536,0.0,0.00493562535848277,0.004851095416118309
0.0725,500.0,4407,0.0011612603377232824,0.0033602586994505687,0.00987472212501684,0.003247194103262741,0.00034478867165290246,9.596884971056528e-05,0.0005426015642637088,0.007374885194349807,0.0,0.005902208436030929,0.0048920955644172195
0.0725,2000.0,4418,0.0028672770411896733,0.00345717821204085,0.04346773356938733,0.003247194103262741,0.000850262456263696,9.861387652671284e-05,0.0033079865268329455,0.007806446882078401,0.0,0.005948506563410402,0.004895868996247303
0.075,5.0,3289,0.00019171591698045144,0.0008132075822139608,9.67968031549019e-05,5.464828762537818e-05,5.871270758142992e-05,2.2713371092313e-05,1.1742487465265238e-05,0.0003083036747633983,0.0,0.004828274330245772,0.0048710854348373266
