step,lambda_qdef,eval_modal_mse,eval_qdef_mse,eval_objective,train_modal_mse,train_qdef_mse,train_total
0,0.0,7.529251161031425e-05,9.041122393682599e-05,7.981307280715554e-05,,,
1,0.00025,0.0001859820622485131,0.00020532493363134563,0.00019624830893008038,7.12162145646289e-05,9.193878941005096e-05,7.12391993147321e-05
100,0.025,7.4680385296233e-05,6.700142694171518e-05,7.803045664331876e-05,3.0747476557735354e-05,7.082949014147744e-05,3.251821544836275e-05
200,0.05,7.420425390591845e-05,4.711195651907474e-05,7.655985173187219e-05,7.80800255597569e-05,4.9199377826880664e-05,8.053999772528186e-05
300,0.05,7.397963781841099e-05,3.8161950214998797e-05,7.588773532916094e-05,0.0001103116519516334,3.7129910197108984e-05,0.00011216814891668037
400,0.05,7.416659354930744e-05,3.3236479794140905e-05,7.582841753901448e-05,8.400451770285144e-05,3.5652043152367696e-05,8.578712004236877e-05
500,0.05,7.512800948461518e-05,3.016209666384384e-05,7.663611431780737e-05,8.068301394814625e-05,3.166626993333921e-05,8.22663278086111e-05
600,0.05,7.458686013706028e-05,2.9435239412123337e-05,7.605862210766646e-05,0.00011372420703992248,3.0798437364865094e-05,0.00011526412708917633
700,0.05,7.573722541565076e-05,2.5767534680198878e-05,7.70256021496607e-05,3.3316362532787025e-05,2.5354103854624555e-05,3.458406717982143e-05
800,0.05,7.49812024878338e-05,2.4972367100417614e-05,7.622982084285468e-05,0.0001281685836147517,2.5569517674739473e-05,0.0001294470566790551
900,0.05,7.477024337276816e-05,2.495831358828582e-05,7.601815905218245e-05,6.432879308704287e-05,2.304540976183489e-05,6.548106466652825e-05
1000,0.05,7.575693598482758e-05,2.123379999829922e-05,7.681862598474254e-05,0.00010416745499242097,2.4298840799019672e-05,0.00010538239439483732
1100,0.05,7.494935562135652e-05,2.0329174731159583e-05,7.59658143579145e-05,0.0001194021460833028,2.3013279133010656e-05,0.00012055280967615545
1200,0.05,7.723036105744541e-05,1.9703496946021914e-05,7.82155359047465e-05,8.646688365843147e-05,1.94072381418664e-05,8.743724902160466e-05
1300,0.05,7.745749462628737e-05,1.878225157270208e-05,7.839660720492248e-05,5.7093937357421964e-05,1.9035282093682326e-05,5.804570173495449e-05
1400,0.05,7.572947652079165e-05,1.775992859620601e-05,7.661747295060196e-05,5.8690886362455785e-05,1.82625517481938e-05,5.9604015405057e-05
1500,0.05,7.668001489946619e-05,1.9775639884755947e-05,7.766879689370398e-05,0.00010317323904018849,1.9593559045461006e-05,0.00010415291762910783
1600,0.05,7.704784366069362e-05,1.8870226995204575e-05,7.799135501045385e-05,5.627243808703497e-05,1.8876002286560833e-05,5.7216238928958774e-05
1700,0.05,7.566199928987771e-05,1.7744423530530185e-05,7.654922046640422e-05,7.42979027563706e-05,1.8498201825423166e-05,7.522281521232799e-05
1800,0.05,7.458079198841006e-05,1.4804129023104906e-05,7.53209984395653e-05,0.00011186141637153924,1.625484583200887e-05,0.00011267415538895875
1900,0.05,7.431436097249389e-05,1.639335459913127e-05,7.513402870245045e-05,3.251833550166339e-05,1.6183697880478576e-05,3.3327520213788375e-05
2000,0.05,7.431367703247815e-05,1.5875468307058327e-05,7.510745044783106e-05,7.28744053049013e-05,1.6146079360623844e-05,7.368170918198302e-05
