chart,n,seeded_technical,generic_technical,seeded_recovery,generic_recovery,seeded_only,generic_only,seeded_error_median,generic_error_median
C00,28,28,28,27,0,27,0,2.967964279502264e-06,0.7614678814570455
C01,41,41,41,41,1,40,0,4.243036577893246e-06,0.6233925592872793
C02,62,62,62,62,0,62,0,3.4758405805293465e-06,0.5540404917374782
C10,25,25,25,25,0,25,0,3.993640464746045e-06,0.542871696651146
C11,33,33,33,33,0,33,0,3.3159410889748763e-06,0.48008831470422747
C12,34,34,34,34,0,34,0,3.3929922583344917e-06,0.4411926604208446
C20,25,25,25,25,0,25,0,4.04227505809779e-06,0.4316113455925256
C21,32,32,32,32,0,32,0,3.4943376722416238e-06,0.3865009295643576
C22,22,22,22,22,0,22,0,3.877309443061695e-06,0.35924264077624835
C30,39,39,39,39,0,39,0,3.748467926347317e-06,0.338004140414542
C31,48,48,48,48,0,48,0,3.5193762437855083e-06,0.3037417176548004
C32,12,12,12,12,0,12,0,3.556402820691576e-06,0.3043274793950521
