step,ci_anchor_loss
1,0.000928241868448396
100,4.583711618004106e-09
200,1.045927462375999e-12
300,1.1979466892023256e-17
400,4.227443626182077e-22
500,3.1519820899978865e-26
600,1.5763870728588114e-29
700,1.1717302030452108e-29
800,9.353778590098851e-30
900,7.782115208105011e-30
1000,6.368161032047316e-30
1100,5.480018284515334e-30
1200,5.345525471005295e-30
1300,4.548289045719726e-30
1400,3.748632890625202e-30
1500,3.253692600744682e-30
1600,3.39822706649623e-30
1700,2.654687042276243e-30
1800,2.587059772358067e-30
1900,2.400716939084717e-30
2000,1.8932641962694114e-30
2100,1.995566334951336e-30
2200,1.995566334951336e-30
2300,1.5590084768090888e-30
2400,1.5263081948000711e-30
2500,1.9953778032685204e-30
2600,1.957021984503851e-30
2700,9.179832859325357e-31
2800,5.690915238659435e-29
2900,3.749463666081791e-09
3000,3.304051462428554e-13
