alpha,Mach,blumen_cr,blumen_ci,blumen_cr_available,blumen_ci_available,blumen_target_available,n_seeds,n_candidates,n_success_candidates,n_spectral_success_candidates,n_mode_success_candidates,best_seed_name,best_shooting_cr,best_shooting_ci,best_shooting_omega_i,best_err_cr_abs,best_err_ci_abs,best_err_ci_rel,best_stage1_mismatch,best_stage2_mismatch,best_ln_p_start_right,best_spectral_success,best_mode_success,best_success,best_status,best_selection_metric,best_selection_metric_name,best_retry_index,best_used_cr_half_window,best_used_ci_half_window,best_y_limit,centroid_abs_y,spread_abs_y,peak_y,centroid_abs_y_center8,spread_abs_y_center8,peak_y_center8,center8_mass_fraction,left_mass_fraction,right_mass_fraction,p_left_boundary_amp_fraction,p_right_boundary_amp_fraction,p_edge_amp_fraction_max,rho_left_boundary_amp_fraction,rho_right_boundary_amp_fraction,rho_edge_amp_fraction_max,u_left_boundary_amp_fraction,u_right_boundary_amp_fraction,u_edge_amp_fraction_max,v_left_boundary_amp_fraction,v_right_boundary_amp_fraction,v_edge_amp_fraction_max,left_relative_mach,left_relative_regime,right_relative_mach,right_relative_regime,edge_amp_fraction_max,left_boundary_amp_fraction,right_boundary_amp_fraction,max_field_edge_amp_fraction,box_truncation_suspect_p,box_truncation_suspect_any_field,exception
0.1,1.2,0.1558511951319273,,True,False,False,6,72,72,72,72,generic_05,0.28005859375000014,0.12224609375,0.012224609375,0.12420739861807284,,,0.012346264487828912,1.1491971867428296e-18,-16.731096141885857,True,True,True,validated,-0.19162878052560856,max_ci_fallback,0,0.03,0.03,312.2216314332293,42.4044021946232,62.570392597167135,0.32087052208532446,3.8120870428088196,4.452446315927982,0.32087052208532446,0.20110528283730394,0.7366613018744224,0.26331412024524303,0.002489327022104228,2.001389570950616e-08,0.002489327022104228,0.002489327022104228,2.001389570950616e-08,0.002489327022104228,0.0001714995365966701,2.42797694975639e-09,0.0001714995365966701,0.0026272993141566725,1.9146560273365065e-08,0.0026272993141566725,1.5430591432778333,supersonic_relative,0.8762956234361323,subsonic_relative,0.002489327022104228,0.002489327022104228,2.001389570950616e-08,0.0026272993141566725,False,False,
0.125,1.2,0.18218828261228348,,True,False,False,6,72,72,72,72,generic_05,0.28005859375000014,0.10698242187500002,0.013372802734375003,0.09787031113771666,,,0.013255295721697155,2.178560545641831e-19,-18.761182038431894,True,True,True,validated,-0.17631965708891517,max_ci_fallback,0,0.03,0.015,285.0470225827532,38.87432323233094,57.50593101915223,0.31460176110768173,3.7770768912742936,4.420629157183967,0.31460176110768173,0.22113168612521783,0.7549593933263818,0.24502277431776798,0.002489601296434339,2.6285992382539724e-09,0.002489601296434339,0.0024896012964343386,2.6285992382539716e-09,0.0024896012964343386,0.00022127620528785688,4.123164861826264e-10,0.00022127620528785688,0.0026393552940184297,2.4575573933556733e-09,0.0026393552940184297,1.5414256869903895,supersonic_relative,0.8734160798346876,subsonic_relative,0.002489601296434339,0.002489601296434339,2.6285992382539724e-09,0.0026393552940184297,False,False,
0.15,1.2,0.20515080951844178,0.08715810378047102,True,True,True,7,84,84,84,84,generic_04,0.20925781250000003,0.08598437500000004,0.012897656250000005,0.00410700298155825,0.0011737287804709784,0.013466662645934806,0.0006548619925505947,1.17662490265966e-18,-16.266299145450464,True,True,True,validated,0.004910040071555829,distance_to_blumen,0,0.06,0.008,282.11784783930807,38.305681190075966,56.46990569821584,0.2225518289868601,3.7921154972082536,4.433946038167131,0.2225518289868601,0.21796875346781006,0.7325425379652335,0.26744114926029716,0.002500095320216176,3.199374041863547e-08,0.002500095320216176,0.002500095320216176,3.199374041863547e-08,0.002500095320216176,0.00040057467049826553,7.813012606836788e-09,0.00040057467049826553,0.0026423555346326193,2.292961510954303e-08,0.0026423555346326193,1.4547731055269246,supersonic_relative,0.9544840431167265,subsonic_relative,0.002500095320216176,0.002500095320216176,3.199374041863547e-08,0.0026423555346326193,False,False,
0.175,1.2,0.221063000943301,0.0742500213715962,True,True,True,7,84,84,84,84,generic_05,0.22587239583333332,0.07623046875,0.013340332031249999,0.00480939489003232,0.0019804473784038046,0.026672684287757126,1.2979274627919503e-05,1.0920985055154401e-20,-19.660341048763648,True,True,True,validated,0.008098654721682917,distance_to_blumen,0,0.1,0.03,275.72044970505965,37.734116467031654,55.836120477799895,0.2384689104386281,3.758608548052288,4.403425163150932,0.2384689104386281,0.22819013789771778,0.763708796614864,0.23627653277220032,0.002497975189641851,1.073205526131832e-09,0.002497975189641851,0.002497975189641851,1.0732055261318321e-09,0.002497975189641851,0.00045142112713357377,3.062329650338118e-10,0.00045142112713357377,0.0026452365797841834,7.791147718609123e-10,0.0026452365797841834,1.4738883505659721,supersonic_relative,0.9334462330172435,subsonic_relative,0.002497975189641851,0.002497975189641851,1.073205526131832e-09,0.0026452365797841834,False,False,
0.2,1.2,0.23697519236816028,0.06222266952409093,True,True,True,7,84,84,84,84,blumen,0.23977467153482698,0.06349220077409093,0.012698440154818186,0.002799479166666702,0.0012695312499999972,0.020403034130647018,2.0376389252358352e-05,1.3579736947419392e-18,-24.909699385516458,True,True,True,validated,0.005171788496950402,distance_to_blumen,0,0.1,0.03,292.10162266205157,40.62473619929149,60.13703420435743,0.25257743833680957,3.740369326282064,4.389217907038177,0.25257743833680957,0.22285033177218458,0.7997507312536832,0.20022804009096906,0.002493972140376111,5.626249900647533e-12,0.002493972140376111,0.002493972140376111,5.6262499006475315e-12,0.002493972140376111,0.0004980298482149884,1.8282795723237784e-12,0.0004980298482149884,0.002636929687958765,4.118295261281856e-12,0.002636929687958765,1.4896792922851994,supersonic_relative,0.9154464953358712,subsonic_relative,0.002493972140376111,0.002493972140376111,5.626249900647533e-12,0.002636929687958765,False,False,
0.22499999999999998,1.2,,0.050627645849408896,False,True,False,6,72,35,69,38,generic_01,0.22485351562500014,0.05187255859375,0.011671325683593749,,0.0012449127443411034,0.02458958388158272,0.010588622246495325,1.713576968974711e-18,-27.186383800683963,True,True,True,validated,-0.06822565614333413,distance_to_blumen_ci_only,0,0.1,0.03,314.4164595853684,44.08450979705179,65.17769564039801,-0.0017893629999241431,3.7405469547245263,4.3890168678998815,-0.0017893629999241431,0.21048361565552898,0.8134054544623517,0.18656690637943413,0.0024929210405829397,5.771443721072492e-13,0.0024929210405829397,0.00249292104058294,5.771443721072492e-13,0.00249292104058294,0.0005571253135271579,2.0353919250945067e-13,0.0005571253135271579,0.0026275834167784257,3.7705739245258924e-13,0.0026275834167784257,1.4711417103007236,supersonic_relative,0.9322562318303573,subsonic_relative,0.0024929210405829397,0.0024929210405829397,5.771443721072492e-13,0.0026275834167784257,False,False,
0.25,1.2,,0.03771962747314546,False,True,False,6,72,21,59,34,generic_01,0.21267395019531246,0.042408129882812506,0.010602032470703127,,0.0046885024096670475,0.1242987464021227,0.023714748754060284,2.5886817819441674e-19,-29.604273365585136,True,True,True,validated,-0.06412576015262994,distance_to_blumen_ci_only,2,0.091875,0.091875,342.9674248572281,48.49193350713446,71.57231034391486,-0.002324270904279981,3.746886559437438,4.395253115161534,-0.002324270904279981,0.19640805079352724,0.8263487020846816,0.17361785932391652,0.002487436095253025,5.131587968086975e-14,0.002487436095253025,0.002487436095253025,5.131587968086975e-14,0.002487436095253025,0.0006082128155155373,1.9309949919006333e-14,0.0006082128155155373,0.002617136843615276,2.9942980377028146e-14,0.002617136843615276,1.4560982950700627,supersonic_relative,0.9461608170818233,subsonic_relative,0.002487436095253025,0.002487436095253025,5.131587968086975e-14,0.002617136843615276,False,False,
0.275,1.2,,0.026215669966936965,False,True,False,6,72,12,54,30,generic_01,0.19545860290527337,0.03852148132324218,0.0105934073638916,,0.012305811356305214,0.4694067087289863,0.044343164032766474,1.6442062770966276e-18,-27.159126435841713,True,True,True,validated,-0.05547703044205647,distance_to_blumen_ci_only,3,0.080390625,0.080390625,338.7353531996014,47.62307909348148,70.33870802594686,-0.0022506534303057294,3.756472951698535,4.403660112495574,-0.0022506534303057294,0.1969380979238923,0.8163585023260769,0.1836091632558838,0.0024830954757057953,5.907545615296798e-13,0.0024830954757057953,0.002483095475705795,5.907545615296798e-13,0.002483095475705795,0.0006594446074998934,2.329733512416935e-13,0.0006594446074998934,0.002618966293632812,3.0212557108166247e-13,0.002618966293632812,1.4352949011016285,supersonic_relative,0.966555689235731,subsonic_relative,0.0024830954757057953,0.0024830954757057953,5.907545615296798e-13,0.002618966293632812,False,False,
0.3,1.2,,0.01688114651161615,False,True,False,6,72,3,45,30,generic_05,0.28802734375,0.06901562499999998,0.020704687499999996,,0.05213447848838383,3.088325692363927,0.0280777733082169,1.901376522544974e-18,-28.843898150120527,True,True,True,validated,-0.016461632846205332,distance_to_blumen_ci_only,0,0.03,0.008,184.46216154390805,25.775937972800868,38.19095204023688,0.30510325374344693,3.5690093979139856,4.235910402685657,0.30510325374344693,0.32209651052624616,0.8120672786260177,0.18788046825698182,0.0024959419139495144,1.1014405989637827e-13,0.0024959419139495144,0.002495941913949515,1.1014405989637826e-13,0.002495941913949515,0.000516164325303373,4.107409520824499e-14,0.000516164325303373,0.002710842304016803,1.0146466800091174e-13,0.002710842304016803,1.5478500368020873,supersonic_relative,0.8583718520712469,subsonic_relative,0.0024959419139495144,0.0024959419139495144,1.1014405989637827e-13,0.002710842304016803,False,False,
0.1,1.3,0.22260820592668665,0.09037979040248759,True,True,True,7,84,84,84,84,generic_02,0.21988281249999997,0.09095703124999999,0.009095703124999998,0.0027253934266866786,0.0005772408475124002,0.006386835430152895,0.0011598612858746559,6.471720551269086e-19,-12.244866646206619,True,True,True,validated,0.002498242117878519,distance_to_blumen,0,0.06,0.03,395.0055212300298,53.737783512636945,78.28479207276945,0.2311202912627936,3.8723961094602304,4.505046846420715,0.2311202912627936,0.15267781675866052,0.6826622121942678,0.31733028373566513,0.002496456191930407,1.7820436715399445e-06,0.002496456191930407,0.0024964561919304067,1.7820436715399443e-06,0.0024964561919304067,0.00023770514060529667,2.642792517789917e-07,0.00023770514060529667,0.00260122238865716,1.1397246278245634e-06,0.00260122238865716,1.5902498123331952,supersonic_relative,1.021022356819753,supersonic_relative,0.002496456191930407,0.002496456191930407,1.7820436715399445e-06,0.00260122238865716,False,False,
