alpha,Mach,blumen_cr,blumen_ci,blumen_cr_available,blumen_ci_available,blumen_target_available,seed_name,seed_cr_center,seed_ci_center,requested_cr_half_window,requested_ci_half_window,used_cr_half_window,used_ci_half_window,retry_index,shooting_cr,shooting_ci,shooting_omega_i,err_cr_abs,err_ci_abs,err_ci_rel,stage1_mismatch,stage2_mismatch,ln_p_start_right,spectral_success,mode_success,success,status,selection_metric,selection_metric_name,y_limit
0.1,1.7,0.4086724851271471,0.025583292422823745,True,True,True,blumen,0.4086724851271471,0.025583292422823745,0.06,0.03,0.06,0.03,0,0.4148052976271471,0.0336030948712038,0.0033603094871203797,0.006132812499999973,0.008019802448380051,0.31347812141744924,3.966230544132926e-06,2.0468394813472072e-19,-14.488499009217225,True,True,True,validated,0.03215094238352589,distance_to_blumen,500.0
0.1,1.7,0.4086724851271471,0.025583292422823745,True,True,True,blumen,0.4086724851271471,0.025583292422823745,0.03,0.03,0.03,0.03,0,0.41482482887714706,0.0336030948712038,0.0033603094871203797,0.006152343749999956,0.008019802448380051,0.31347812141744924,2.068325799346561e-06,2.0526118116411838e-19,-14.491963038290601,True,True,True,validated,0.03215139949278892,distance_to_blumen,500.0
0.1,1.7,0.4086724851271471,0.025583292422823745,True,True,True,blumen,0.4086724851271471,0.025583292422823745,0.015,0.03,0.015,0.03,0,0.41483459450214705,0.0336030948712038,0.0033603094871203797,0.006162109374999947,0.008019802448380051,0.31347812141744924,2.600368114232537e-06,2.0552322452424474e-19,-14.493695355952426,True,True,True,validated,0.03215162859001845,distance_to_blumen,500.0
0.1,1.7,0.4086724851271471,0.025583292422823745,True,True,True,blumen,0.4086724851271471,0.025583292422823745,0.1,0.03,0.1,0.03,0,0.4148573809604804,0.0336030948712038,0.0033603094871203797,0.006184895833333315,0.008019802448380051,0.31347812141744924,5.817417486168611e-06,2.0619983444901074e-19,-14.497738215305834,True,True,True,validated,0.03215216455690282,distance_to_blumen,500.0
0.1,1.7,0.4086724851271471,0.025583292422823745,True,True,True,generic_05,0.34,0.085,0.06,0.03,0.06,0.03,0,0.41480468750000005,0.033613281249999995,0.0033613281249999997,0.006132202372852946,0.00802998882717625,0.3138762866976581,3.5048481827645853e-06,2.05099852090308e-19,-14.489234106712424,True,True,True,validated,0.032191582867436876,distance_to_blumen,500.0
0.1,1.7,0.4086724851271471,0.025583292422823745,True,True,True,generic_05,0.34,0.085,0.1,0.03,0.1,0.03,0,0.4148046875000001,0.033613281249999995,0.0033613281249999997,0.006132202372853002,0.00802998882717625,0.3138762866976581,3.5048485521794645e-06,2.0509080183944594e-19,-14.48923410666951,True,True,True,validated,0.032191582867436876,distance_to_blumen,500.0
0.1,1.7,0.4086724851271471,0.025583292422823745,True,True,True,generic_04,0.26,0.07,0.1,0.03,0.1,0.03,0,0.4148828124999999,0.033613281249999995,0.0033613281249999997,0.00621032737285282,0.00802998882717625,0.3138762866976581,9.751016253705078e-06,2.0745301752842275e-19,-14.503092543271963,True,True,True,validated,0.03219341748522145,distance_to_blumen,500.0
0.1,1.7,0.4086724851271471,0.025583292422823745,True,True,True,blumen,0.4086724851271471,0.025583292422823745,0.06,0.008,0.06,0.008,0,0.4148052976271471,0.033619750756157085,0.0033619750756157087,0.006132812499999973,0.00803645833333334,0.3141291668215361,3.467777020935677e-06,2.0536259747392556e-19,-14.48987774794499,True,True,True,validated,0.03221741758531502,distance_to_blumen,500.0
0.1,1.7,0.4086724851271471,0.025583292422823745,True,True,True,blumen,0.4086724851271471,0.025583292422823745,0.03,0.008,0.03,0.008,0,0.41482482887714706,0.033619750756157085,0.0033619750756157087,0.006152343749999956,0.00803645833333334,0.3141291668215361,7.583980891458187e-07,2.0595267646226456e-19,-14.493340787193237,True,True,True,validated,0.032217873751423626,distance_to_blumen,500.0
0.1,1.7,0.4086724851271471,0.025583292422823745,True,True,True,blumen,0.4086724851271471,0.025583292422823745,0.015,0.008,0.015,0.008,0,0.41483459450214705,0.033619750756157085,0.0033619750756157087,0.006162109374999947,0.00803645833333334,0.3141291668215361,1.748887714490279e-06,2.0618208897088297e-19,-14.495072609911249,True,True,True,validated,0.03221810237596645,distance_to_blumen,500.0
0.1,1.7,0.4086724851271471,0.025583292422823745,True,True,True,blumen,0.4086724851271471,0.025583292422823745,0.1,0.008,0.1,0.008,0,0.4148573809604804,0.033619750756157085,0.0033619750756157087,0.006184895833333315,0.00803645833333334,0.3141291668215361,5.489358622400645e-06,2.0693633915396998e-19,-14.499114313697754,True,True,True,validated,0.032218637237039084,distance_to_blumen,500.0
0.1,1.7,0.4086724851271471,0.025583292422823745,True,True,True,blumen,0.4086724851271471,0.025583292422823745,0.06,0.015,0.06,0.015,0,0.4148052976271471,0.03362040179782373,0.003362040179782373,0.006132812499999973,0.008037109374999987,0.3141546147449654,3.493415385367171e-06,2.0535615759845945e-19,-14.489931627845277,True,True,True,validated,0.032220015966220775,distance_to_blumen,500.0
0.1,1.7,0.4086724851271471,0.025583292422823745,True,True,True,blumen,0.4086724851271471,0.025583292422823745,0.03,0.015,0.03,0.015,0,0.41482482887714706,0.03362040179782373,0.003362040179782373,0.006152343749999956,0.008037109374999987,0.3141546147449654,8.68180154633488e-07,2.0602725175630298e-19,-14.493394628423012,True,True,True,validated,0.03222047209554242,distance_to_blumen,500.0
0.1,1.7,0.4086724851271471,0.025583292422823745,True,True,True,blumen,0.4086724851271471,0.025583292422823745,0.015,0.015,0.015,0.015,0,0.41483459450214705,0.03362040179782373,0.003362040179782373,0.006162109374999947,0.008037109374999987,0.3141546147449654,1.7992097704733817e-06,2.0627768158980193e-19,-14.495126431804005,True,True,True,validated,0.032220700701648494,distance_to_blumen,500.0
0.1,1.7,0.4086724851271471,0.025583292422823745,True,True,True,blumen,0.4086724851271471,0.025583292422823745,0.1,0.015,0.1,0.015,0,0.4148573809604804,0.03362040179782373,0.003362040179782373,0.006184895833333315,0.008037109374999987,0.3141546147449654,5.5055749707628285e-06,2.0691573390044405e-19,-14.499168090429336,True,True,True,validated,0.03222123551958984,distance_to_blumen,500.0
0.1,1.7,0.4086724851271471,0.025583292422823745,True,True,True,generic_05,0.34,0.085,0.03,0.03,0.03,0.03,0,0.3999414062499999,0.03486328125000001,0.003486328125000001,0.008731078877147191,0.009279988827176264,0.36273629968351,0.002491902634898176,6.279133852082874e-20,-12.288912368657288,True,True,True,validated,0.03724552953133079,distance_to_blumen,500.0
0.1,1.7,0.4086724851271471,0.025583292422823745,True,True,True,generic_03,0.18,0.055,0.06,0.015,0.06,0.015,0,0.29988281249999993,0.025029296874999996,0.0025029296874999997,0.10878967262714717,0.0005539955478237497,0.021654583728617786,0.01446874957128868,5.526237668596339e-20,-6.520223821655507,True,True,True,validated,0.03814081414556542,distance_to_blumen,500.0
0.1,1.7,0.4086724851271471,0.025583292422823745,True,True,True,generic_04,0.26,0.07,0.03,0.03,0.03,0.03,0,0.31994140624999995,0.03126953125000001,0.0031269531250000013,0.08873107887714715,0.005686238827176265,0.22226376234918743,0.012596759355850898,2.3454362964563757e-21,-7.264511971004287,True,True,True,validated,0.038494162231902745,distance_to_blumen,500.0
0.1,1.7,0.4086724851271471,0.025583292422823745,True,True,True,generic_02,0.1,0.04,0.1,0.008,0.1,0.008,0,0.2998046875000002,0.024015625,0.0024015625,0.10886779762714688,0.0015676674228237465,0.06127700050933147,0.014473369136197074,6.086921352647004e-20,-6.459527655888341,True,True,True,validated,0.03861625920515913,distance_to_blumen,500.0
0.1,1.7,0.4086724851271471,0.025583292422823745,True,True,True,generic_03,0.18,0.055,0.06,0.03,0.06,0.03,0,0.29988281249999993,0.01994140625,0.0019941406250000003,0.10878967262714717,0.005641886172823744,0.22053010533509051,0.014466085841350777,4.3986491293587515e-20,-6.218898869443378,True,True,True,validated,0.04426178035289614,distance_to_blumen,500.0
0.1,1.7,0.4086724851271471,0.025583292422823745,True,True,True,generic_04,0.26,0.07,0.06,0.03,0.06,0.03,0,0.3798828124999999,0.03763671875000001,0.0037636718750000014,0.02878967262714721,0.012053426327176268,0.47114445349586775,0.005530263959584916,4.1925775711900665e-19,-10.472789978659737,True,True,True,validated,0.04925540501018135,distance_to_blumen,500.0
0.1,1.7,0.4086724851271471,0.025583292422823745,True,True,True,generic_03,0.18,0.055,0.1,0.03,0.1,0.03,0,0.3798046874999999,0.037636718750000006,0.003763671875000001,0.028867797627147196,0.01205342632717626,0.4711444534958675,0.005541268755758467,4.1951486468688957e-19,-10.466364216418134,True,True,True,validated,0.04926100610752168,distance_to_blumen,500.0
0.1,1.7,0.4086724851271471,0.025583292422823745,True,True,True,generic_03,0.18,0.055,0.1,0.015,0.1,0.015,0,0.3798046874999999,0.037646484375000025,0.0037646484375000026,0.028867797627147196,0.01206319195217628,0.4715261723473202,0.005541268448140606,4.1986182593723e-19,-10.467395994819588,True,True,True,validated,0.04929923878044614,distance_to_blumen,500.0
0.1,1.7,0.4086724851271471,0.025583292422823745,True,True,True,generic_05,0.34,0.085,0.015,0.03,0.015,0.03,0,0.36997070312500013,0.038378906250000004,0.0038378906250000006,0.03870178200214697,0.012795613827176259,0.5001550862062166,0.006880827686040259,4.2609512689597004e-19,-9.818764539231688,True,True,True,validated,0.052944571514650554,distance_to_blumen,500.0
0.1,1.7,0.4086724851271471,0.025583292422823745,True,True,True,generic_03,0.18,0.055,0.1,0.008,0.1,0.008,0,0.3798046874999999,0.039015624999999984,0.0039015624999999988,0.028867797627147196,0.013432332577176239,0.5250431553208839,0.0055454496998949155,4.652875799493726e-19,-10.610217852392546,True,True,True,validated,0.05467107350832391,distance_to_blumen,500.0
0.1,1.7,0.4086724851271471,0.025583292422823745,True,True,True,generic_02,0.1,0.04,0.1,0.015,0.1,0.015,0,0.2998046875000002,0.014970703124999998,0.0014970703125,0.10886779762714688,0.010612589297823747,0.4148250007241401,0.014490421735576442,8.571827156705213e-21,-5.920183791193891,True,True,True,validated,0.057043202945585396,distance_to_blumen,500.0
