epoch,ci_anchor_loss,weighted_loss,ci_lr,grad_norm
1,2.0567943214935282e-29,2.0567943214935283e-26,0.00019999999970699613,1.1706596944521797e-11
100,3.191807098997293e-11,3.191807098997293e-08,0.00019999706997625506,0.01187525950125233
200,1.6573084986120243e-11,1.6573084986120243e-08,0.00019998828008575777,0.00927191816001194
300,4.7469584195916356e-11,4.746958419591636e-08,0.00019997363087071005,0.015649961806515636
400,7.531166706625092e-08,7.531166706625092e-05,0.0001999531232347445,0.6229061142253647
500,8.216088118284381e-13,8.216088118284381e-10,0.0001999267584428687,0.002054805751485625
600,8.462398433449754e-08,8.462398433449754e-05,0.00019989453812138715,0.6587138782381701
700,1.1184661321085892e-12,1.1184661321085891e-09,0.00019985646425780114,0.0023921678491889494
800,7.292078501845086e-08,7.292078501845086e-05,0.00019981253920068581,0.6103674655713246
900,8.33168859395781e-12,8.33168859395781e-09,0.00019976276565954567,0.006516395134978497
1000,1.9019549888898846e-11,1.9019549888898847e-08,0.0001997071467046472,0.009848860269005513
1100,2.405525737507391e-10,2.405525737507391e-07,0.00019964568576682942,0.035003913811171176
1200,2.9521703731080023e-15,2.9521703731080022e-12,0.0001995783866372926,0.00012268203515657515
1300,3.467693206927492e-07,0.0003467693206927492,0.000199505253467364,1.343965671212485
1400,3.116564439684365e-11,3.1165644396843646e-08,0.00019942629076824208,0.01257102724847326
1500,1.5536088680621395e-15,1.5536088680621396e-12,0.00019934150341071802,0.0001039988563564598
1600,9.691499913875616e-11,9.691499913875616e-08,0.0001992508966248754,0.03268833878904039
1700,1.3994617034101351e-07,0.00013994617034101352,0.00019915447599976762,0.8492654984161668
1800,1.7597035220170638e-12,1.7597035220170638e-09,0.00019905224748307298,0.0032172137897163093
1900,2.6187795349384616e-12,2.6187795349384615e-09,0.00019894421738072797,0.005551212412262226
2000,8.1980577230968e-09,8.1980577230968e-06,0.00019883039235653812,0.20660316960559374
2100,7.672693802023288e-11,7.672693802023289e-08,0.00019871077943176707,0.019645858631976803
2200,7.209005854637307e-07,0.0007209005854637307,0.00019858538598470352,1.90421495278201
