step,ci_anchor_loss
1,0.03284364269966182
100,9.439152913432403e-06
200,2.5382590424041607e-10
300,6.381542956534396e-15
400,1.4238162014862015e-19
500,1.9105512021234026e-24
600,5.585529306296455e-28
700,3.807066807422107e-28
800,3.17320638375898e-28
900,2.6465474261681316e-28
1000,2.236881134129345e-28
1100,1.9156269976702385e-28
1200,1.6649172923144387e-28
1300,1.4441321401788001e-28
1400,1.2662117642357298e-28
1500,1.0991796771108146e-28
1600,9.592968729280916e-29
1700,8.712620005340284e-29
1800,7.667222361409195e-29
1900,6.752174994129856e-29
2000,5.840975142577107e-29
2100,5.326643447943674e-29
2200,4.87918591455122e-29
2300,4.2206175413897504e-29
2400,3.8194852891551966e-29
2500,3.45438985624197e-29
2600,3.094733823755483e-29
2700,2.7313589738799534e-29
2800,2.4408609699023822e-29
2900,2.2607256043937464e-29
3000,2.0019351007322988e-29
