stage,dataset,source_id,chart,Mach,alpha,n_xi,xi_boundary,mapping_scale,cr_pred,ci_pred,r_kappa_abs_median,r_kappa_abs_p90,r_kappa_abs_p95,r_kappa_abs_max,r_q_abs_median,r_q_abs_p90,r_q_abs_p95,r_q_abs_max,r_logamp_abs_median,r_logamp_abs_p90,r_logamp_abs_p95,r_logamp_abs_max,r_kappa_normalized_rms,r_q_normalized_rms,r_logamp_normalized_rms,bc_kappa_rmse,bc_q_rmse,bc_kappa_max_abs,bc_q_max_abs,reference_ci
joint,V64,0,C00,1.05,0.105,256,0.9850000143051147,3.0,0.009603679180145264,0.05192423239350319,0.005118375178426504,0.014133142307400703,0.0176667096093297,0.03201982378959656,0.004342436790466309,0.012346060015261173,0.014381557237356901,0.025714939460158348,0.00370823557022959,0.009325608611106873,0.010839087888598442,0.01552554965019226,0.008619471179349084,0.007238130979533693,0.005484512921015172,0.0017989609373988144,0.000845831400570681,0.002140423282980919,0.001158144325017929,0.0596915838649033
joint,V64,1,C00,1.1,0.09,256,0.9850000143051147,3.0,0.046199411153793335,0.10239333659410477,0.0046399254351854324,0.012077001389116049,0.013710696715861559,0.020392712205648422,0.004790820647031069,0.01188017800450325,0.013045996660366654,0.018834877759218216,0.0032617353135719895,0.008278955239802599,0.010372774209827185,0.015653496608138084,0.007130689634689309,0.006838186407137684,0.004871391372507046,0.0009919137865730479,0.0010179666469323633,0.0013896021991968155,0.0012729652225971222,0.1849919122211095
joint,V64,2,C00,1.1,0.105,256,0.9850000143051147,3.0,0.06554710865020752,0.10136478394269943,0.004742139717563987,0.012266069650650024,0.014461175305768847,0.02705741487443447,0.005308513296768069,0.011898713186383247,0.01576637802645564,0.02570980042219162,0.0034045579377561808,0.00828737486153841,0.009335818002000451,0.027539383620023727,0.007287210355543763,0.007396546756246748,0.0053487503982320725,0.0007901122286278036,0.0008770111981417948,0.0010586045682430267,0.0011513829231262207,0.1377614529920954
joint,V64,3,C00,1.1,0.115,256,0.9850000143051147,3.0,0.07631394267082214,0.10816285759210587,0.00470139249227941,0.01369459368288517,0.01641662046313286,0.022712165489792824,0.0043214058969169855,0.012688805814832449,0.014942452777177095,0.029418276622891426,0.003413999453186989,0.008489662315696478,0.010132671799510717,0.028489748015999794,0.007910221134172815,0.007557748799617379,0.00521717695972818,0.0011330894580966339,0.0006339969187174709,0.001573098823428154,0.0007616691291332245,0.1316074319054831
joint,V64,4,C00,1.2,0.075,256,0.9850000143051147,3.0,0.12534627318382263,0.14678707718849182,0.00434135808609426,0.012700128834694624,0.014435905730351806,0.030376922339200974,0.004613560624420643,0.012506102677434683,0.014116662088781595,0.019884923473000526,0.0032149412436410785,0.009252038784325123,0.011015271069481969,0.026115745306015015,0.007246825235180608,0.007045355746256552,0.0057264981432714685,0.0009154338031408405,0.000302339435872846,0.0011052414774894714,0.0004147663712501526,0.1278442189910901
joint,T401,0,C00,1.0,0.055,256,0.9850000143051147,3.0,-0.005853027105331421,0.003037612186744809,0.011716736946254969,0.031107439659535885,0.034900580532848835,0.06679058820009232,0.010434556286782026,0.029047668911516666,0.03665339481085539,0.06669379770755768,0.006345602683722973,0.01575569249689579,0.020738341845571995,0.029386058449745178,0.017835609620424915,0.01717537949058359,0.009542676224511356,0.002794970498378076,0.001572185694203965,0.002989314030855894,0.0021852822974324226,0.0031382028597574
joint,T401,1,C00,1.0,0.065,256,0.9850000143051147,3.0,-0.017917931079864502,0.005580279044806957,0.008317177649587393,0.022421803325414658,0.027082344517111778,0.05118364095687866,0.00774342380464077,0.022220652550458908,0.028965612407773733,0.04802243411540985,0.005609241779893637,0.01428966410458088,0.016383367590606213,0.020962433889508247,0.01281352950258107,0.012866511309734948,0.008009028451467837,0.004538939146101141,0.001899331469294577,0.0063498858362436295,0.0026753991842269897,0.0044499855836279
joint,T401,2,C00,1.0,0.075,256,0.9850000143051147,3.0,-0.019858628511428833,0.011153980158269405,0.007967225275933743,0.02578329388052225,0.03128286683931947,0.03915243595838547,0.007747216848656535,0.02121058478951454,0.02562821190804243,0.038065314292907715,0.004881727043539286,0.012678163591772318,0.017189644277095795,0.02624567225575447,0.014179424728928833,0.012362400966344406,0.008081759144079772,0.004547288750679073,0.002013852288277161,0.0064274584874510765,0.002760079223662615,0.0060334923763868
joint,T401,3,C00,1.0,0.085,256,0.9850000143051147,3.0,-0.015405595302581787,0.017471054568886757,0.007028788328170776,0.018424074165523052,0.021580112166702747,0.042639780789613724,0.006172186462208629,0.019088114611804485,0.02527650212869048,0.034114278852939606,0.004825416952371597,0.013592671137303114,0.015312237897887826,0.031026527285575867,0.010964503067490916,0.010910495668267668,0.007818847178966155,0.003518396537620126,0.002721354069939829,0.004921823740005493,0.0031105508096516132,0.0079182452555799
joint,T401,4,C00,1.0,0.095,256,0.9850000143051147,3.0,-0.013561457395553589,0.021150141954421997,0.006826563971117139,0.022978038527071476,0.02873408980667591,0.039232201874256134,0.00795625988394022,0.020589742809534073,0.024830220732837915,0.035867415368556976,0.004618332022801042,0.011979492381215096,0.014405677793547511,0.021061571314930916,0.013014267281669718,0.011897205398063134,0.007165299573215628,0.003611199718379583,0.0034330166645986336,0.0047233328223228455,0.003924907185137272,0.0101433175874361
joint,T401,5,C00,1.0,0.11,256,0.9850000143051147,3.0,-0.017538130283355713,0.021116914227604866,0.008463363628834486,0.023682658560574055,0.02703569084405899,0.0433734729886055,0.00818566931411624,0.02658186759799719,0.0343316774815321,0.042352356016635895,0.005473373923450708,0.012524522840976715,0.015361045487225056,0.02906438708305359,0.01328595423043915,0.01471413295176319,0.0077121362998011575,0.005363337853080744,0.00233582408955506,0.007247155532240868,0.0031641479581594467,0.0142365019789538
joint,T401,6,C00,1.0,0.125,256,0.9850000143051147,3.0,-0.008868813514709473,0.020179303362965584,0.012344921939074993,0.029789126478135586,0.037207240238785744,0.05390520021319389,0.010399863589555025,0.030106984078884125,0.03455106168985367,0.05504811182618141,0.0062097543850541115,0.016551603563129902,0.019122765865176916,0.022734206169843674,0.01762808712880581,0.017048438185411338,0.009405389657410064,0.004131222694775706,0.00036229446669807,0.005820486694574356,0.0003726202994585037,0.0194746295545811
joint,T401,7,C00,1.05,0.05,256,0.9850000143051147,3.0,-0.004390597343444824,0.0051857223734259605,0.009137524291872978,0.024400271475315094,0.031826200895011425,0.04435708746314049,0.009563496336340904,0.023230645805597305,0.02776821283623576,0.04325808957219124,0.006335751619189978,0.017011912539601326,0.02070411993190646,0.028969239443540573,0.014596117979268311,0.013795930057130801,0.00997123082697547,0.002387267219527312,0.0013907426376200144,0.003374808467924595,0.001682804897427559,0.0216720758392142
