region,metric,n,median,p90,p95,p99,max
|y|<=10,r_kappa_abs,89587,0.0068644667,0.020424957400000013,0.026537680299999998,0.0423635574,0.12485299
|y|<=10,r_q_abs,89587,0.0066240444,0.019109620000000004,0.024376596799999994,0.03884661337999999,0.13228916
|y|<=10,r_logamp_abs,89587,0.0042846175,0.012911672600000004,0.016760768499999995,0.02530866464,0.050541293
10<|y|<=40,r_kappa_abs,10715,0.005082282,0.015613597600000001,0.020766687699999998,0.0744643484000005,0.30677217
10<|y|<=40,r_q_abs,10715,0.00456091,0.013315988,0.017345904699999994,0.05096546788000001,0.3290389
10<|y|<=40,r_logamp_abs,10715,0.0020676432,0.005587212700000003,0.007184369449999992,0.011289414820000017,0.026296552
|y|>40,r_kappa_abs,2354,0.0027673546,0.0109451904,0.016432948499999996,0.03156673689999999,0.058211677
|y|>40,r_q_abs,2354,0.00256214125,0.009348396100000001,0.011647789549999999,0.020389314709999867,0.034963828
|y|>40,r_logamp_abs,2354,0.00482298635,0.02876819520000004,0.05593858684999999,0.11711620809999962,0.17163931
