dataset,source_id,chart,Mach,alpha,reference_ci
T401,0,C00,1.0,0.055,0.0031382028597574
T401,1,C00,1.0,0.065,0.0044499855836279
T401,2,C00,1.0,0.075,0.0060334923763868
T401,3,C00,1.0,0.085,0.0079182452555799
T401,4,C00,1.0,0.095,0.0101433175874361
T401,5,C00,1.0,0.11,0.0142365019789538
T401,6,C00,1.0,0.125,0.0194746295545811
T401,7,C00,1.05,0.05,0.0216720758392142
T401,8,C00,1.05,0.06,0.026850382922755
T401,9,C00,1.05,0.07,0.0325278215395402
T401,10,C00,1.05,0.075,0.0356029301043054
T401,11,C00,1.05,0.085,0.0423637176862112
T401,12,C00,1.05,0.1,0.0546998175409827
T401,13,C00,1.05,0.115,0.0719056899252925
T401,14,C00,1.1,0.095,0.1439719750936911
T401,15,C00,1.1,0.11,0.1346775747592678
T401,16,C00,1.15,0.06,0.1998472244836177
T401,17,C00,1.15,0.075,0.1421829713450822
T401,18,C00,1.15,0.08,0.1392808657517153
T401,19,C00,1.15,0.09,0.1335078749432744
T401,20,C00,1.15,0.105,0.124921872190643
T401,21,C00,1.15,0.115,0.1192436508743323
T401,22,C00,1.2,0.05,0.1408414697456862
T401,23,C00,1.2,0.065,0.1330421441116264
T401,24,C00,1.2,0.08,0.1252466098615217
T401,25,C00,1.2,0.09,0.1200551554586059
T401,26,C00,1.2,0.1,0.1148698095470125
T401,27,C00,1.2,0.115,0.1071054177329335
T401,28,C01,1.0,0.135,0.0238070220816896
T401,29,C01,1.0,0.14,0.026296053046404
T401,30,C01,1.0,0.15,0.0321062949597958
T401,31,C01,1.0,0.16,0.0394369303198964
T401,32,C01,1.0,0.165,0.0439306948164425
T401,33,C01,1.0,0.175,0.0557083229229324
T401,34,C01,1.0,0.195,0.0978340054927779
T401,35,C01,1.0,0.205,0.0915107939103272
T401,36,C01,1.0,0.215,0.0852583958304331
T401,37,C01,1.05,0.12,0.0798199008171065
T401,38,C01,1.05,0.13,0.1057320985786008
T401,39,C01,1.05,0.145,0.1240499420403578
T401,40,C01,1.05,0.16,0.1145246495812782
T401,41,C01,1.05,0.17,0.1082491587696718
T401,42,C01,1.05,0.18,0.1020308850845139
T401,43,C01,1.05,0.19,0.0958677623501994
T401,44,C01,1.05,0.205,0.08672218899306
T401,45,C01,1.1,0.12,0.1285506661833083
T401,46,C01,1.1,0.135,0.1194572670812644
T401,47,C01,1.1,0.15,0.1104728205019271
T401,48,C01,1.1,0.165,0.1015900294887648
T401,49,C01,1.1,0.175,0.0957214701503959
T401,50,C01,1.1,0.19,0.0869943604140983
T401,51,C01,1.1,0.2,0.0812245506598016
T401,52,C01,1.15,0.12,0.1164175356042111
T401,53,C01,1.15,0.13,0.1107901946633786
T401,54,C01,1.15,0.145,0.1024084525397898
T401,55,C01,1.15,0.16,0.0940936670254569
T401,56,C01,1.15,0.17,0.0885856665308793
T401,57,C01,1.15,0.18,0.0831045993477835
T401,58,C01,1.15,0.1875,0.0790109172963611
T401,59,C01,1.15,0.195,0.074931515120691
T401,60,C01,1.15,0.205,0.0695139708760752
T401,61,C01,1.2,0.13,0.0993595427438833
T401,62,C01,1.2,0.14,0.094206817652732
T401,63,C01,1.2,0.15,0.089063544049155
T401,64,C01,1.2,0.16,0.0839300841651744
T401,65,C01,1.2,0.17,0.0788067637074469
T401,66,C01,1.2,0.185,0.0711414505629227
T401,67,C01,1.2,0.195,0.066044768826691
T401,68,C01,1.2,0.205,0.0609592307494944
T401,69,C02,1.0,0.225,0.0790732279991764
T401,70,C02,1.0,0.23,0.0760047899975906
T401,71,C02,1.0,0.235,0.0729519045736324
T401,72,C02,1.0,0.24,0.0699141772819918
T401,73,C02,1.0,0.245,0.0668912242537501
T401,74,C02,1.0,0.26,0.0579073250083236
