task_index,role,Mach,alpha,sweep,setting,reference_setting,level,accepted,residual_norm,abs_error_cr,abs_error_ci,abs_error_omega_i,complex_c_error
0,low_alpha,1.1,0.09,box,box_L20,box_L50,20.0,True,1.5214353831724275e-09,0.0,0.0,0.0,0.0
0,low_alpha,1.1,0.09,box,box_L30,box_L50,30.0,True,1.5214353946797915e-09,0.0,0.0,0.0,0.0
0,low_alpha,1.1,0.09,box,strict_L40_y1,box_L50,40.0,True,1.521768042751582e-09,0.0,0.0,0.0,0.0
0,low_alpha,1.1,0.09,box,box_L50,box_L50,50.0,True,1.521768042751582e-09,0.0,0.0,0.0,0.0
0,low_alpha,1.1,0.09,integration,accuracy_coarse,strict_L40_y1,0.5,True,1.5096744907195975e-09,0.0,0.0,0.0,0.0
0,low_alpha,1.1,0.09,integration,accuracy_nominal,strict_L40_y1,0.25,True,1.5202746098122524e-09,0.0,0.0,0.0,0.0
0,low_alpha,1.1,0.09,integration,strict_L40_y1,strict_L40_y1,40.0,True,1.521768042751582e-09,0.0,0.0,0.0,0.0
0,low_alpha,1.1,0.09,matching,matching_y0p5,strict_L40_y1,0.5,True,6.014125642391056e-10,0.0,0.0,0.0,0.0
0,low_alpha,1.1,0.09,matching,strict_L40_y1,strict_L40_y1,40.0,True,1.521768042751582e-09,0.0,0.0,0.0,0.0
0,low_alpha,1.1,0.09,matching,matching_y1p5,strict_L40_y1,1.5,True,2.176274392891994e-09,0.0,0.0,0.0,0.0
1,peak_growth,1.1,0.17,box,box_L20,box_L50,20.0,True,5.756691682024428e-11,0.0,0.0,0.0,0.0
1,peak_growth,1.1,0.17,box,box_L30,box_L50,30.0,True,5.756689846288427e-11,0.0,0.0,0.0,0.0
1,peak_growth,1.1,0.17,box,strict_L40_y1,box_L50,40.0,True,5.7652975576971655e-11,0.0,0.0,0.0,0.0
1,peak_growth,1.1,0.17,box,box_L50,box_L50,50.0,True,5.7652975576971655e-11,0.0,0.0,0.0,0.0
