setting,level,median_complex_error,max_complex_error,median_ci_error,max_ci_error
box_L20,20.0,0.0,2.0110914140788257e-08,0.0,1.9504990900009013e-08
box_L30,30.0,0.0,2.0875920794613743e-08,0.0,2.0177148200015756e-08
strict_L40_y1,40.0,0.0,1.5844522118909545e-09,0.0,1.318540500009702e-09
box_L50,50.0,0.0,0.0,0.0,0.0
