point_id,direction,step_index,Mach,eta,alpha,ci_seed,gep_cr,gep_ci,adjacent_overlap,selection_basis,selection_source,n_finite_modes
OFFGRID_0381,low_to_target,0,0.7616049327548474,0.92,0.5961982798599047,0.037595843445579695,2.6046437749450933e-13,0.03853588331923183,,pinn_seed_start,nearest_to_target,299
OFFGRID_0381,low_to_target,1,0.7616049327548474,0.9224005064231547,0.5977539079036845,0.03704542067120908,4.890420200140948e-13,0.03736159449680299,0.9999990945323947,previous_eigenvalue,nearest_to_target,290
OFFGRID_0381,low_to_target,2,0.7616049327548474,0.9248010128463093,0.5993095359474644,0.03605044957354383,-9.166706939534585e-13,0.03618804655318671,0.9999990945513978,previous_eigenvalue,nearest_to_target,319
OFFGRID_0381,low_to_target,3,0.7616049327548474,0.927201519269464,0.6008651639912442,0.034657430885025944,-1.2013816130629901e-12,0.03501512887119672,0.9999990945336973,previous_eigenvalue,nearest_to_target,323
OFFGRID_0381,low_to_target,4,0.7616049327548474,0.9296020256926187,0.6024207920350242,0.03324825629159229,-2.463867859600507e-13,0.03384270024945373,0.9999990944685284,previous_eigenvalue,nearest_to_target,289
OFFGRID_0381,low_to_target,5,0.7616049327548474,0.9320025321157734,0.603976420078804,0.032179518425820404,4.663940565566679e-13,0.0326705802776055,0.9999990943418716,previous_eigenvalue,nearest_to_target,284
OFFGRID_0381,low_to_target,6,0.7616049327548474,0.9344030385389281,0.6055320481225839,0.031414806686466255,1.6040650059018488e-13,0.031498538329921895,0.9999990941355043,previous_eigenvalue,nearest_to_target,315
OFFGRID_0381,low_to_target,7,0.7616049327548474,0.9368035449620827,0.6070876761663637,0.03068102532778283,1.9961681467923932e-12,0.03032627954966112,0.999999093825783,previous_eigenvalue,nearest_to_target,313
OFFGRID_0381,low_to_target,8,0.7616049327548474,0.9392040513852374,0.6086433042101436,0.029686263331437392,-1.3582608263601763e-12,0.02915342696390004,0.9999990933820467,previous_eigenvalue,nearest_to_target,293
OFFGRID_0381,low_to_target,9,0.7616049327548474,0.9416045578083921,0.6101989322539234,0.02829743958115099,-1.1368604251994076e-12,0.027979498623794948,0.999999092764523,previous_eigenvalue,nearest_to_target,321
OFFGRID_0381,low_to_target,10,0.7616049327548474,0.9440050642315467,0.6117545602977033,0.026755993897416584,1.6040692020808832e-13,0.026803878288719135,0.9999990919215404,previous_eigenvalue,nearest_to_target,314
OFFGRID_0381,low_to_target,11,0.7616049327548474,0.9464055706547014,0.6133101883414831,0.025484156176717756,-1.7290545526924729e-12,0.02562577761438921,0.9999990907857677,previous_eigenvalue,nearest_to_target,281
OFFGRID_0381,low_to_target,12,0.7616049327548474,0.9488060770778561,0.614865816385263,0.02458758459643594,1.7871421559051374e-12,0.024444187003251613,0.999999089269048,previous_eigenvalue,nearest_to_target,341
OFFGRID_0381,low_to_target,13,0.7616049327548474,0.9512065835010108,0.6164214444290429,0.023844781009061993,-1.8495151572231483e-12,0.023257811024988594,0.9999990872551439,previous_eigenvalue,nearest_to_target,288
OFFGRID_0381,low_to_target,14,0.7616049327548474,0.9536070899241655,0.6179770724728227,0.022947288820636555,-8.322844417592942e-13,0.02206498238340566,0.9999990845893049,previous_eigenvalue,nearest_to_target,298
OFFGRID_0381,low_to_target,15,0.7616049327548474,0.9560075963473201,0.6195327005166026,0.021677473773428033,-2.088952698922763e-12,0.020863545147394674,0.9999990810627969,previous_eigenvalue,nearest_to_target,289
OFFGRID_0381,low_to_target,16,0.7616049327548474,0.9584081027704748,0.6210883285603824,0.020145632397497927,-8.167014710135161e-13,0.01965069259294674,0.9999990763891892,previous_eigenvalue,nearest_to_target,322
OFFGRID_0381,high_to_target,0,0.7616049327548474,0.98,0.6350807763725071,0.010966808389677634,5.0670212631053457e-11,0.00660328553377475,,pinn_seed_start,nearest_to_target,300
OFFGRID_0381,high_to_target,1,0.7616049327548474,0.9776009003078305,0.6335260599489377,0.011507950879814283,2.5832744685655135e-11,0.008583984536351594,0.9999986576731732,previous_eigenvalue,nearest_to_target,305
OFFGRID_0381,high_to_target,2,0.7616049327548474,0.9752018006156611,0.6319713435253683,0.012485214746701435,5.441493997000679e-13,0.010275144358207085,0.9999988405039911,previous_eigenvalue,nearest_to_target,320
OFFGRID_0381,high_to_target,3,0.7616049327548474,0.9728027009234916,0.6304166271017989,0.013856637565145928,-2.912338519896829e-11,0.011805374296930706,0.999998929346176,previous_eigenvalue,nearest_to_target,298
OFFGRID_0381,high_to_target,4,0.7616049327548474,0.9704036012313222,0.6288619106782295,0.015248877501021798,-5.486026082942379e-12,0.01323365704079248,0.9999989808346363,previous_eigenvalue,nearest_to_target,312
OFFGRID_0381,high_to_target,5,0.7616049327548474,0.9680045015391526,0.6273071942546601,0.016308318175530096,-1.7204033867830285e-11,0.01459261714161233,0.9999990136902072,previous_eigenvalue,nearest_to_target,316
OFFGRID_0381,high_to_target,6,0.7616049327548474,0.9656054018469832,0.6257524778310907,0.017066682232146677,-1.2099732713842828e-11,0.015902372918429403,0.9999990359376564,previous_eigenvalue,nearest_to_target,290
OFFGRID_0381,high_to_target,7,0.7616049327548474,0.9632063021548137,0.6241977614075213,0.017791626642019165,-7.81082375365502e-12,0.01717623779262588,0.9999990516006391,previous_eigenvalue,nearest_to_target,286
OFFGRID_0381,high_to_target,8,0.7616049327548474,0.9608072024626443,0.6226430449839518,0.018772627305549464,-1.2354593213257085e-11,0.0184234606191649,0.9999990629233766,previous_eigenvalue,nearest_to_target,292
OFFGRID_0381,high_to_target,9,0.7616049327548474,0.9584081027704748,0.6210883285603824,0.020145632397497927,-8.167014710135161e-13,0.01965069259294674,0.9999990712583529,previous_eigenvalue,nearest_to_target,322
