chart_id,point_index,Mach,eta,alpha,field_family,gep_regime,N,mapping_kind,mapping_scale,xi_max,continuation_required,technical_success,reference_success,selection_error,reference_error,ci_ref_diagnostic,ci_pred_diagnostic,ci_pinn,n_raw_eigenvalues,n_physically_admissible_modes,scalar_gep_raw_index,scalar_gep_cr,scalar_gep_ci,scalar_gep_omega_i,scalar_gep_distance,scalar_gep_ci_weight,ci_classic,gep_p_rel_classic,gep_rho_rel_classic,gep_u_rel_classic,gep_v_rel_classic,gep_p_overlap_classic,ci_ref,ci_pinn_abs_err_classic,ci_pinn_scaled_err_classic,scalar_gep_ci_abs_err_classic,scalar_gep_ci_scaled_err_classic
ETAEDGE_HM1,0,0.68,0.025,0.0183303027798233,pQscaled,longwave_map10_N301,301,pin,10.0,0.99,False,True,True,,,0.6714804503269557,0.6738501109435924,0.6738501109435925,901,111,591,-1.1018372111901658e-13,0.6717642686575268,0.012313642441159029,0.004171684572131351,2.0,0.6715035322347859,2.3891531611800552e-05,2.3891531611791794e-05,0.0008216025096863943,0.00023301928948155236,0.9999999997145976,0.6715035322347859,0.0023465787088066126,0.003494514319227959,0.000260736422740937,0.0003882874925068489
ETAEDGE_HM1,1,0.68,0.04,0.0293284844477173,pQscaled,longwave_map10_N301,301,pin,10.0,0.99,False,True,True,,,0.6557030485058343,0.6579925428672484,0.6579925428672485,901,112,587,4.527708489322385e-14,0.6559887595139754,0.019239156131282992,0.004007566706546228,2.0,0.6557102144862521,1.6541891376374642e-05,1.6541891376376305e-05,0.0008685940164634709,0.0002590643677806854,0.999999999863183,0.6557102144862521,0.0022823283809964012,0.003480696701948744,0.00027854502772328704,0.00042479897608660346
ETAEDGE_HM1,2,0.68,0.055,0.0403266661156113,pQscaled,longwave_map10_N301,301,pin,10.0,0.99,False,True,True,,,0.6402973626638216,0.6397659142721273,0.6397659142721274,901,117,582,-5.325034094166068e-13,0.6405677085746475,0.025831960108132015,0.0016035886050402848,2.0,0.6403117380812271,2.2037918508210922e-05,2.2037918508210292e-05,0.0008703843703223765,0.00024334430620178687,0.999999999757165,0.6403117380812271,0.0005458238090997325,0.0008524344887622405,0.0002559704934204099,0.00039975917697129365
ETAEDGE_HM1,3,0.77,0.025,0.0159510971409492,pQscaled,longwave_map10_N301,301,pin,10.0,0.99,False,True,True,,,0.6165066381283586,0.6143407349445565,0.6143407349445567,901,111,590,5.49095216786724e-14,0.6168381388519463,0.009839245073069706,0.004994807814779234,2.0,0.6165300877184303,5.1251034409605605e-05,5.125103440960052e-05,0.0008631464751677048,0.00026420693713226237,0.9999999986866658,0.6165300877184303,0.002189352773873665,0.003551088288287309,0.0003080511335159519,0.000499653041518128
ETAEDGE_HM1,4,0.77,0.04,0.0255217554255188,pQscaled,longwave_map10_N301,301,pin,10.0,0.99,False,True,True,,,0.6024629350369386,0.5944633099356926,0.5944633099356926,901,153,587,-6.014006916079627e-14,0.6027707455846446,0.015383767546468917,0.016614871297903955,2.0,0.6024734949367822,1.903610536302212e-05,1.9036105363022776e-05,0.0008823022422678922,0.00028672407678958725,0.9999999998188134,0.6024734949367822,0.00801018500108952,0.013295497757839178,0.00029725064786245703,0.0004933837759844484
ETAEDGE_HM1,5,0.77,0.055,0.0350924137100884,pQscaled,longwave_map10_N301,301,pin,10.0,0.99,False,True,True,,,0.5887112151215433,0.5825432880560888,0.5825432880560888,901,115,582,4.208106236370356e-13,0.5890072720490892,0.020669686868997228,0.012927967986000821,2.0,0.5887025091871301,2.6256610963632036e-05,2.6256610963637457e-05,0.0009137373127308838,0.0002972105479316566,0.9999999996552954,0.5887025091871301,0.0061592211310412814,0.010462366025152202,0.00030476286195912916,0.0005176856853896211
ETAEDGE_HM1,6,0.86,0.025,0.012757350822173,pQscaled,longwave_map10_N301,301,pin,10.0,0.99,False,True,True,,,0.5612357829792347,0.5627756385752857,0.5627756385752859,901,108,590,2.884563593021788e-13,0.5618199052762979,0.007167333630489736,0.0019114665979760304,2.0,0.5612680950072376,0.0003755287923844592,0.00037552879238446124,0.0020924677672306607,0.0007541111101634107,0.9999999294890608,0.5612680950072376,0.0015075435680482752,0.0026859598495952903,0.00055181026906026,0.0009831491830176885
ETAEDGE_HM1,7,0.86,0.04,0.0204117613154769,pQscaled,longwave_map10_N301,301,pin,10.0,0.99,False,True,True,,,0.5494439548201733,0.5493643768687976,0.5493643768687976,901,116,586,-1.2312948120009487e-13,0.549790081482232,0.011222183916831914,0.0008514092268687712,2.0,0.5494386338497248,3.080698169172503e-05,3.080698169172498e-05,0.0009484099159324955,0.00035212080347279257,0.9999999995254647,0.5494386338497248,7.42569809272231e-05,0.00013515063621742494,0.0003514476325071625,0.0006396485628334716
ETAEDGE_HM1,8,0.86,0.055,0.0280661718087807,pQscaled,longwave_map10_N301,301,pin,10.0,0.99,False,True,True,,,0.5378228773460405,0.5450968991565343,0.5450968991565344,901,116,584,2.912455378815746e-13,0.5381698915772859,0.015104368639320987,0.013854015158496935,2.0,0.5378292002308479,2.8095280119114222e-05,2.8095280119113355e-05,0.0009356607399283525,0.0003432619960827122,0.999999999605328,0.5378292002308479,0.007267698925686461,0.013513024065199523,0.0003406913464379935,0.0006334563952492007
