raw_index,cr,ci,omega_i,admissible,ci_distance_to_shoot
1182,5.213124180108528e-11,0.012607433368295541,0.00496997610830877,True,0.00019552182859421813
1172,0.09623733789134807,0.0081369435585397,0.003207664391254806,True,0.00466601163835006
1200,-0.09623733775057977,0.008136943160946286,0.003207664234519513,True,0.004666012035943473
1199,-0.09095459752860668,0.0016540312024473432,0.000652035614103102,True,0.011148923994442415
1175,0.09095459886080279,0.0016540296104261601,0.0006520349865124566,True,0.011148925586463599
1177,0.07307461964348858,3.694208711380796e-10,1.4562939575663114e-10,True,0.012802954827468889
1179,0.03935102335662831,3.365197254597056e-11,1.3265943564018819e-11,True,0.012802955163237787
1180,0.02181679079623424,1.4723557991881627e-11,5.804173562635557e-12,True,0.012802955182166202
1186,-0.021816790659332497,9.557141803009325e-12,3.767520718699379e-12,True,0.012802955187332618
1195,-0.0730746194667152,1.9888365023001092e-12,7.840192060519493e-13,True,0.012802955194900923
