step,ci_anchor_loss
1,0.14193256558393713
100,0.0013768387362074674
200,1.2732909594824328e-05
300,1.7344031101718406e-07
400,1.6043669075942676e-09
500,4.5257047483725495e-12
600,2.9123094300514648e-15
700,1.769242821624443e-19
800,1.9641395310590752e-24
900,3.3656798726745285e-26
1000,2.8409421655010413e-26
1100,2.4317833773488813e-26
1200,2.1007648343961892e-26
1300,1.8245729325639756e-26
1400,1.5914513247784164e-26
1500,1.3950380392589967e-26
1600,1.2289996828610488e-26
1700,1.0855657068018055e-26
1800,9.636978930349237e-27
1900,8.535913112664327e-27
2000,7.604521887231406e-27
2100,6.77908308712066e-27
2200,6.044840354376152e-27
2300,5.3967916997463536e-27
2400,4.840970699143846e-27
2500,4.339499743325765e-27
2600,3.887117879444524e-27
2700,3.485290554804942e-27
2800,3.1367952388628688e-27
2900,2.8134819516607907e-27
3000,2.5322208971830607e-27
