distance_bin,distance_center,n,direct_median,direct_p90,gep_median,gep_p90
"(0.0265, 0.0347]",0.02749999999999997,13,0.0002665320935553023,0.00029655103705206117,0.001816386920919899,0.002602162707288741
"(0.0347, 0.0439]",0.04249999999999998,13,6.215579084939762e-05,9.423606624391972e-05,0.000383991657370103,0.0006239228928826593
"(0.0554, 0.07]",0.057499999999999996,13,6.535598396090192e-05,7.554674199577588e-05,7.986103950850115e-05,0.00015045317834311848
"(0.07, 0.0884]",0.07250000000000001,13,0.0002885638172726024,0.0002983237576622402,1.0408430593293605e-05,3.2633875625355525e-05
"(0.0884, 0.112]",0.09499999999999997,13,0.0005811613325669013,0.0006384164817546222,1.4010645063601557e-05,2.319980658333637e-05
"(0.112, 0.141]",0.125,13,0.00014642382500910933,0.00024646568927249874,1.4555507985208882e-05,2.8573857690328278e-05
"(0.141, 0.178]",0.15500000000000003,13,0.00010787838307149689,0.00014150841880589682,2.806728619500487e-05,3.710344549339995e-05
"(0.178, 0.225]",0.20402205763103168,26,0.003238225099091746,0.007219850547689741,2.8570971276051238e-05,4.205567956629824e-05
