method,output_scope,execution_device,warmups,repeats,median_ms,q1_ms,q3_ms,iqr_ms,p95_ms,mean_ms,std_ms,min_ms,max_ms,speedup_vs_classical_full_mode
"PINN full mode, loaded",full mode on N=301,GPU,20,100,2.0160985,2.0117425,2.02340725,0.011664750000000002,2.0307649999999997,2.0233261799999998,0.0526832147003122,1.997842,2.530414,3064.628938268641
"GEP refinement, seed ready",full mode on N=301,CPU,1,10,3554.159554,3536.5301019999997,3569.27448475,32.74438275000011,3595.4736371,3556.2000510999997,27.060096871397455,3520.1159789999997,3613.7799619999996,1.7384120525895783
"PINN-seeded GEP, end to end",full mode on N=301,GPU+CPU,1,10,3573.5076584999997,3562.810673,3589.7933999999996,26.982726999999613,3635.13664785,3578.8107322999995,35.25527763447356,3535.110906,3656.059788,1.7289997380594673
Classical full mode,full mode on N=301,CPU,1,10,6178.5938055,6176.019133999999,6180.1116675,4.092533500001082,6181.8767703,6177.354589299999,4.390171500670826,6167.904973,6182.264214,1.0
Classical shooting,c_i only,CPU,1,10,6461.052810499999,6458.24780975,6462.465975499999,4.218165749999571,6466.387135999999,6461.154710299999,3.4348023007635238,6457.183403,6468.250496,
PINN checkpoint load,model load only,GPU,0,5,14.425509,14.143018,14.526289,0.3832710000000006,16.927985800000002,14.946755199999998,1.4541890829505981,14.11055,17.52841,
