configuration,n,mae,median_abs_error,p90_abs_error,p95_abs_error,max_abs_error
Physics only,401,0.29991723149388616,0.2818862781517365,0.5725535294102021,0.6169747283712302,0.6631567687184381
4 anchors,401,0.1846347398679381,0.1279044192873099,0.45291885082288463,0.5099053971499478,0.567722774987744
8 anchors,401,0.1853754255055199,0.12253326593266511,0.4511184329227992,0.5170985974401509,0.584818109815644
16 anchors,401,0.1850308503795158,0.11599934516774202,0.4521479392485209,0.5198469452590023,0.5916264727168548
