metric,n,mean,median,p90,p95,p99,max
ci_abs_difference,195,0.0009552891261337008,0.0007145882995692,0.00213268564365762,0.0025250345542484893,0.003525046230795338,0.0039172038740847
ci_regularized_relative_difference,195,0.0019861115783391748,0.0015093782594108,0.00439594078350926,0.00526358384417649,0.006903577657638491,0.0078842433310684
pressure_relative_difference,195,0.040634360631935436,0.0140468741206462,0.1271407647977541,0.13455965626882202,0.23361455690273872,0.2480983401006034
pressure_overlap_defect,195,0.002201606528852324,9.866220339582732e-05,0.008115426638082467,0.009096291808814263,0.027675137199254515,0.0312651479174888
