kind,Mach,alpha,requested_target,cr_seed,ci_seed,accepted,box_scale,seed_distance,error,cr,ci,omega_i,stage1_mismatch,stage2_mismatch,ln_p_start_right,y_limit,min_abs_U_minus_c,success,point_index,alpha_step_used
alpha_trace,1.6,0.13,True,0.39263084467200027,0.03710634499625122,True,0.0,0.0,,0.39263084467200027,0.03710634499625122,0.004823824849512659,9.944489056561488e-08,2.5300627200225088e-17,-26.715404154160726,694.7833762043355,0.03733860161580042,True,0,0.0
alpha_trace,1.6,0.14,True,0.39263084467200027,0.03710634499625122,True,1.0,0.006501451336565317,,0.3972611713536003,0.03482440808304624,0.0048754171316264736,4.637037860077726e-08,3.0487153895441655e-17,-29.647646241621302,687.9941599973821,0.034825978620150744,True,1,0.010000000000000009
alpha_trace,1.6,0.15200000000000002,True,0.4028175633715203,0.03208608378720026,True,1.0,0.0006203318972314161,,0.40241881777152033,0.03184848453993536,0.004840969650070175,8.541264087996976e-08,3.907388013992782e-17,-33.914603782816,693.5136941333615,0.03198046936833853,True,2,0.01200000000000001
alpha_trace,1.6,0.16640000000000002,True,0.4086079934730244,0.028277376288202302,True,1.0,0.0007536258317995661,,0.40810754992742443,0.027995636979610602,0.004658473993407204,8.452617274136183e-08,5.562700863374432e-17,-40.55135176384871,721.3879036353139,0.028133944446704574,True,3,0.014399999999999996
alpha_trace,1.6,0.18368,True,0.41493402851450933,0.023372219907220895,True,1.0,0.0009000001066477213,,0.41431551793274934,0.023045323573417337,0.004232965033965297,7.040644484932932e-09,9.397372516636185e-17,-52.02350962655639,794.7402183233278,0.02305509230647006,True,4,0.01727999999999999
alpha_trace,1.6,0.20368,True,0.4215006660870606,0.01731579416810106,True,1.0,0.0009862033357027637,,0.4207946983686606,0.016971480866031424,0.0034567512227932804,4.267620124425495e-08,2.11125025915284e-16,-74.81404810681448,974.2548477458877,0.017007370651404653,True,5,0.01999999999999999
alpha_trace,1.6,0.22368,True,0.4272738788045719,0.010897638158645511,True,1.0,0.0008421706991355845,,0.42664564005897193,0.010617206542645509,0.0023748567594589474,2.244324474549748e-08,7.101263964953228e-16,-126.01664978111704,1419.4616445314434,0.011160145503090541,True,6,0.01999999999999999
alpha_trace,1.6,0.24367999999999998,True,0.43249658174928324,0.004262932219259594,True,1.0,0.0006674684874836347,,0.43197517979088323,0.004054573046459155,0.0009880183599611668,6.533004864804026e-08,4.2575675112260886e-15,-304.7985715293338,3000.0,0.004473848906356108,True,7,0.01999999999999999
alpha_trace,1.6,0.24867999999999998,True,0.43330756472386106,0.002413914672412564,True,1.0,8.780929052035557e-05,,0.43323667181122105,0.002388007788968659,0.000593849776960726,1.8982625380382497e-08,4.31506779817122e-15,-316.2776249848849,3000.0,0.003954818305814592,True,8,0.0050000000000000044
alpha_trace,1.6,0.25367999999999996,True,0.43449816383155887,0.0007214425314781721,True,1.0,3.1551803321291896e-05,,0.4344720149675589,0.0007126142643161563,0.0001807759865717225,4.879119082574135e-08,4.4467366204311606e-15,-327.95129573839245,3000.0,0.003794810057813942,True,9,0.004999999999999977
