chart_id,mach_min,mach_max,eta_min,eta_max,field_family,width,depth,hidden_linear_layers,n_freq,epochs,lr,n_anchors,ci_idw_eta_scale,ci_idw_mach_scale,ci_idw_power
ETAEDGE_HM1,0.68,0.86,0.02,0.06,pQscaled,256,7,7,12,45000,0.0002,25,0.25,0.25,4.0
ETAEDGE_HM2A,0.84,0.93,0.02,0.06,pQscaled,256,7,7,12,45000,0.0002,25,0.25,0.25,4.0
ETAEDGE_HM2B,0.92,0.98,0.02,0.06,pQscaled,256,7,7,12,45000,0.0002,25,0.25,0.25,4.0
ETAEDGE_LM,0.05,0.35,0.02,0.06,pQscaled,256,7,7,12,45000,0.0002,25,0.25,0.25,4.0
ETAEDGE_MM,0.3,0.7,0.02,0.06,pQscaled,256,7,7,12,45000,0.0002,25,0.25,0.25,4.0
HIGH_HIM,0.35,0.7,0.5,0.65,pq_or_unspecified,256,7,7,12,18000,0.0002,32,0.08,0.1,4.0
HIGH_LOWM_COMPACTY,0.1,0.4,0.55,0.65,pq_or_unspecified,320,8,8,14,22000,0.0002,35,0.06,0.08,4.0
HM1_HIGH,0.7,0.85,0.55,0.65,pq_or_unspecified,256,7,7,12,25000,0.0002,20,0.25,0.25,4.0
HM1_LOW,0.7,0.85,0.25,0.4,pq_or_unspecified,256,7,7,12,25000,0.0002,16,0.25,0.25,4.0
HM1_MID,0.7,0.85,0.35,0.55,pq_or_unspecified,256,7,7,12,25000,0.0002,20,0.25,0.25,4.0
HM1_NEUTRAL1,0.7,0.85,0.65,0.8,pq_or_unspecified,256,7,7,12,25000,0.0002,20,0.25,0.25,4.0
HM1_NEUTRAL2,0.7,0.85,0.8,0.92,pq_or_unspecified,256,7,7,12,25000,0.0002,20,0.25,0.25,4.0
HM1_NEUTRAL3,0.7,0.85,0.92,0.98,pq_or_unspecified,256,7,7,12,25000,0.0002,20,0.25,0.25,4.0
HM1_VLOW_EXTREME,0.7,0.85,0.05,0.12,pQscaled,256,7,7,12,30000,0.0002,20,0.25,0.25,4.0
HM1_VLOW_MOD,0.7,0.85,0.12,0.25,pQscaled,256,7,7,12,30000,0.0002,20,0.25,0.25,4.0
HM2_HIGH,0.85,0.98,0.55,0.65,pq_or_unspecified,256,7,7,12,25000,0.0002,20,0.25,0.25,4.0
HM2_LOW,0.85,0.98,0.25,0.4,pq_or_unspecified,256,7,7,12,25000,0.0002,16,0.25,0.25,4.0
HM2_MID,0.85,0.98,0.35,0.55,pq_or_unspecified,256,7,7,12,25000,0.0002,20,0.25,0.25,4.0
HM2_NEUTRAL1,0.85,0.98,0.65,0.8,pq_or_unspecified,256,7,7,12,25000,0.0002,20,0.25,0.25,4.0
HM2_NEUTRAL2,0.85,0.98,0.8,0.92,pq_or_unspecified,256,7,7,12,25000,0.0002,20,0.25,0.25,4.0
HM2_NEUTRAL3,0.85,0.98,0.92,0.98,pq_or_unspecified,256,7,7,12,25000,0.0002,20,0.25,0.25,4.0
HM2_VLOW_EXTREME,0.85,0.98,0.05,0.12,pQscaled,256,7,7,12,30000,0.0002,20,0.25,0.25,4.0
HM2_VLOW_MOD,0.85,0.98,0.12,0.25,pQscaled,256,7,7,12,30000,0.0002,20,0.25,0.25,4.0
LMEDGE_HIGH,0.02,0.06,0.55,0.65,pq_or_unspecified,256,7,7,12,40000,0.0002,25,0.25,0.25,4.0
LMEDGE_LOW,0.02,0.06,0.12,0.4,pq_or_unspecified,256,7,7,12,40000,0.0002,25,0.25,0.25,4.0
LMEDGE_MID,0.02,0.06,0.35,0.55,pq_or_unspecified,256,7,7,12,40000,0.0002,25,0.25,0.25,4.0
LMEDGE_NEUTRAL1,0.02,0.06,0.65,0.8,pq_or_unspecified,256,7,7,12,40000,0.0002,25,0.25,0.25,4.0
LMEDGE_NEUTRAL2,0.02,0.06,0.8,0.92,pq_or_unspecified,256,7,7,12,40000,0.0002,25,0.25,0.25,4.0
LMEDGE_NEUTRAL3,0.02,0.06,0.92,0.98,pq_or_unspecified,256,7,7,12,40000,0.0002,25,0.25,0.25,4.0
LMEDGE_VLOW,0.02,0.06,0.05,0.13,pQscaled,256,7,7,12,45000,0.0002,25,0.25,0.25,4.0
LOW,0.1,0.7,0.25,0.4,pq_or_unspecified,256,7,7,12,18000,0.0002,28,0.12,0.15,4.0
LOWM_EXT_HIGH,0.05,0.1,0.55,0.65,pq_or_unspecified,256,7,7,12,25000,0.0002,20,0.25,0.25,4.0
LOWM_EXT_LOW,0.05,0.1,0.25,0.4,pq_or_unspecified,256,7,7,12,25000,0.0002,16,0.25,0.25,4.0
LOWM_EXT_MID,0.05,0.1,0.35,0.55,pq_or_unspecified,256,7,7,12,25000,0.0002,20,0.25,0.25,4.0
LOWM_EXT_NEUTRAL1,0.05,0.1,0.65,0.8,pq_or_unspecified,256,7,7,12,25000,0.0002,20,0.25,0.25,4.0
LOWM_EXT_NEUTRAL2,0.05,0.1,0.8,0.92,pq_or_unspecified,256,7,7,12,25000,0.0002,20,0.25,0.25,4.0
LOWM_EXT_NEUTRAL3,0.05,0.1,0.92,0.98,pq_or_unspecified,256,7,7,12,25000,0.0002,20,0.25,0.25,4.0
LOWM_EXT_VLOW_EXTREME,0.05,0.1,0.05,0.12,pQscaled,256,7,7,12,30000,0.0002,20,0.25,0.25,4.0
LOWM_EXT_VLOW_MOD,0.05,0.1,0.12,0.25,pQscaled,256,7,7,12,30000,0.0002,20,0.25,0.25,4.0
MID,0.1,0.7,0.35,0.55,pq_or_unspecified,256,7,7,12,18000,0.0002,35,0.12,0.15,4.0
NEUTRAL1_HIM,0.35,0.7,0.65,0.8,pq_or_unspecified,384,8,8,16,24000,0.0002,40,0.05,0.08,4.0
NEUTRAL1_LOWM,0.1,0.4,0.65,0.8,pq_or_unspecified,384,8,8,16,24000,0.0002,35,0.05,0.08,4.0
