point_id,reference_tier,Mach,alpha,cr,ci,omega_i,spectral_ok,modal_ok,pinning_use,best_status,best_stage1_mismatch,best_stage2_mismatch,trusted_spectral,trusted_modal,valid_spectral_candidate,valid_modal_candidate,decision,source_kind,source_short,source,validation_note,has_exported_modal_fields
M1.10_a0.175000,B_EXTENSION_VALIDATED_MODAL_SPECTRAL,1.1,0.175,0.1508143457011082,0.092213234034898,0.0161373159561071,True,True,YES,validated,9.209272529347948e-06,3.3933657261595065e-19,,,,,extension_or_unmatched,other_csv,shooting/supersonic_shooting_core_band_M11_summary.csv,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M11_summary.csv,"extension point kept because best_status=validated, best_spectral_success=True, best_mode_success=True; not part of canonical FINAL23",False
M1.10_a0.200000,B_EXTENSION_VALIDATED_MODAL_SPECTRAL,1.1,0.2,0.1656761547463344,0.0791796566675815,0.0158359313335163,True,True,YES,validated,1.314381709687337e-05,2.9859546502175105e-19,,,,,extension_or_unmatched,other_csv,shooting/supersonic_shooting_core_band_M11_summary.csv,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M11_summary.csv,"extension point kept because best_status=validated, best_spectral_success=True, best_mode_success=True; not part of canonical FINAL23",False
M1.25_a0.250000,B_EXTENSION_VALIDATED_MODAL_SPECTRAL,1.25,0.25,0.2550098377696084,0.0304106202499422,0.0076026550624855,True,True,YES,validated,0.0285205931752853,6.926989067349518e-19,,,,,extension_or_unmatched,other_csv,shooting/supersonic_shooting_point_batch_core_v2_summary.csv,assets/classic_supersonic/shooting/supersonic_shooting_point_batch_core_v2_summary.csv,"extension point kept because best_status=validated, best_spectral_success=True, best_mode_success=True; not part of canonical FINAL23",False
M1.30_a0.200000,B_EXTENSION_VALIDATED_MODAL_SPECTRAL,1.3,0.2,0.2727688216788323,0.0467110594036997,0.0093422118807399,True,True,YES,validated,0.0114810158991341,1.6726103028849283e-20,,,,,extension_or_unmatched,other_csv,shooting/supersonic_shooting_core_band_M13_summary.csv,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M13_summary.csv,"extension point kept because best_status=validated, best_spectral_success=True, best_mode_success=True; not part of canonical FINAL23",False
M1.30_a0.225000,B_EXTENSION_VALIDATED_MODAL_SPECTRAL,1.3,0.2249999999999999,0.2807064105959674,0.0353543235424167,0.0079547227970437,True,True,YES,validated,0.0183502648700106,1.5485891781714665e-18,,,,,extension_or_unmatched,other_csv,shooting/supersonic_shooting_ci_alpha_lines_core_summary.csv,assets/classic_supersonic/shooting/supersonic_shooting_ci_alpha_lines_core_summary.csv,"extension point kept because best_status=validated, best_spectral_success=True, best_mode_success=True; not part of canonical FINAL23",False
M1.30_a0.250000,B_EXTENSION_VALIDATED_MODAL_SPECTRAL,1.3,0.25,0.2886439995131025,0.0255613688283836,0.0063903422070959,True,True,YES,validated,0.0267995410060461,1.6709758490539702e-18,,,,,extension_or_unmatched,other_csv,shooting/supersonic_shooting_ci_alpha_lines_core_summary.csv,assets/classic_supersonic/shooting/supersonic_shooting_ci_alpha_lines_core_summary.csv,"extension point kept because best_status=validated, best_spectral_success=True, best_mode_success=True; not part of canonical FINAL23",False
M1.30_a0.275000,B_EXTENSION_VALIDATED_MODAL_SPECTRAL,1.3,0.275,0.2965815884302376,0.0171633516439817,0.0047199217020949,True,True,YES,validated,0.0261349939882448,2.044343122066965e-18,,,,,extension_or_unmatched,other_csv,shooting/supersonic_shooting_ci_alpha_lines_core_summary.csv,assets/classic_supersonic/shooting/supersonic_shooting_ci_alpha_lines_core_summary.csv,"extension point kept because best_status=validated, best_spectral_success=True, best_mode_success=True; not part of canonical FINAL23",False
M1.33_a0.180000,B_EXTENSION_VALIDATED_MODAL_SPECTRAL,1.33,0.18,0.2771044303979708,0.0508498118838383,0.0091529661390908,True,True,YES,validated,0.0029902678212216,1.3042589531394374e-18,,,,,extension_or_unmatched,other_csv,shooting/supersonic_shooting_point_batch_core_v2_summary.csv,assets/classic_supersonic/shooting/supersonic_shooting_point_batch_core_v2_summary.csv,"extension point kept because best_status=validated, best_spectral_success=True, best_mode_success=True; not part of canonical FINAL23",False
M1.40_a0.100000,B_EXTENSION_VALIDATED_MODAL_SPECTRAL,1.4,0.1,0.283841246397037,0.0425165800223759,0.0042516580022375,True,True,YES,validated,0.0083962628131086,2.0046362322329786e-18,,,,,extension_or_unmatched,other_csv,shooting/supersonic_shooting_core_band_M14_summary.csv,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M14_summary.csv,"extension point kept because best_status=validated, best_spectral_success=True, best_mode_success=True; not part of canonical FINAL23",False
M1.40_a0.175000,B_EXTENSION_VALIDATED_MODAL_SPECTRAL,1.4,0.175,0.3334272163349703,0.0426165444542578,0.0074578952794951,True,True,YES,validated,4.406057886329088e-06,9.000934100903454e-24,,,,,extension_or_unmatched,candidate_dense,shooting/supersonic_shooting_modal_front_spectral_dense_M140_M150_branch_guided_summary.csv,assets/classic_supersonic/shooting/supersonic_shooting_modal_front_spectral_dense_M140_M150_branch_guided_summary.csv,"extension point kept because best_status=validated, best_spectral_success=True, best_mode_success=True; not part of canonical FINAL23",False
M1.40_a0.181250,B_EXTENSION_VALIDATED_MODAL_SPECTRAL,1.4,0.18125,0.3153193678544234,0.0427209194542578,0.0077431666510842,True,True,YES,validated,0.0058666869984485,1.3654422406630672e-18,True,True,,,extension_or_unmatched,candidate_dense,shooting/supersonic_reference_core_local_modal_M140_branch_guided.csv,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal_M140_branch_guided.csv,"extension point kept because best_status=validated, best_spectral_success=True, best_mode_success=True; not part of canonical FINAL23",False
M1.40_a0.187500,B_EXTENSION_VALIDATED_MODAL_SPECTRAL,1.4,0.1875,0.3183709082056269,0.0411403935788011,0.0077138237960252,True,True,YES,validated,0.0060030096781822,6.8384475574140265e-19,True,True,,,extension_or_unmatched,candidate_dense,shooting/supersonic_reference_core_local_modal_M140_branch_guided.csv,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal_M140_branch_guided.csv,"extension point kept because best_status=validated, best_spectral_success=True, best_mode_success=True; not part of canonical FINAL23",False
M1.40_a0.193750,B_EXTENSION_VALIDATED_MODAL_SPECTRAL,1.4,0.19375,0.3222828767123289,0.024414084798728,0.0047302289297535,True,True,YES,validated,0.0307914139539887,2.902276857159237e-19,,,,,extension_or_unmatched,other_csv,shooting/supersonic_shooting_point_batch_M140_summary.csv,assets/classic_supersonic/shooting/supersonic_shooting_point_batch_M140_summary.csv,"extension point kept because best_status=validated, best_spectral_success=True, best_mode_success=True; not part of canonical FINAL23",False
M1.40_a0.200000,B_EXTENSION_VALIDATED_MODAL_SPECTRAL,1.4,0.2,0.3240857069010081,0.0232528549709631,0.0046505709941926,True,True,YES,validated,0.0333763724194165,7.490435597356611e-19,,,,,extension_or_unmatched,other_csv,shooting/supersonic_shooting_core_band_M14_summary.csv,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M14_summary.csv,"extension point kept because best_status=validated, best_spectral_success=True, best_mode_success=True; not part of canonical FINAL23",False
M1.50_a0.100000,B_EXTENSION_VALIDATED_MODAL_SPECTRAL,1.5,0.1,0.3293676490936765,0.0460323254563964,0.0046032325456396,True,True,YES,validated,0.0052546983899283,1.270114345714536e-18,,,,,extension_or_unmatched,other_csv,shooting/supersonic_shooting_core_band_M15_summary.csv,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M15_summary.csv,"extension point kept because best_status=validated, best_spectral_success=True, best_mode_success=True; not part of canonical FINAL23",False
M1.50_a0.158333,B_EXTENSION_VALIDATED_MODAL_SPECTRAL,1.5,0.158333,0.2399414062499999,0.0374707031249999,0.0059328488378906,True,True,YES,validated,0.0254194812899849,1.3342919540887097e-18,,,,,extension_or_unmatched,candidate_dense,shooting/supersonic_shooting_modal_front_spectral_dense_summary.csv,assets/classic_supersonic/shooting/supersonic_shooting_modal_front_spectral_dense_summary.csv,"extension point kept because best_status=validated, best_spectral_success=True, best_mode_success=True; not part of canonical FINAL23",False
M1.50_a0.165625,B_EXTENSION_VALIDATED_MODAL_SPECTRAL,1.5,0.165625,0.3680825090907056,0.0380056534011514,0.0062946863445657,True,True,YES,validated,2.1496167389108205e-06,4.5129458631744745e-19,,,,,extension_or_unmatched,candidate_dense,shooting/supersonic_shooting_modal_front_spectral_dense_M140_M150_branch_guided_summary.csv,assets/classic_supersonic/shooting/supersonic_shooting_modal_front_spectral_dense_M140_M150_branch_guided_summary.csv,"extension point kept because best_status=validated, best_spectral_success=True, best_mode_success=True; not part of canonical FINAL23",False
M1.60_a0.100000,B_EXTENSION_VALIDATED_MODAL_SPECTRAL,1.6,0.1,0.3723024463246057,0.0286170504353144,0.0028617050435314,True,True,YES,validated,0.010372068730472,7.9348249071463715e-19,,,,,extension_or_unmatched,other_csv,shooting/supersonic_shooting_core_band_M16_summary.csv,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M16_summary.csv,"extension point kept because best_status=validated, best_spectral_success=True, best_mode_success=True; not part of canonical FINAL23",False
M1.60_a0.125000,B_EXTENSION_VALIDATED_MODAL_SPECTRAL,1.6,0.125,0.3875635867175142,0.0251098747521818,0.0031387343440227,True,True,YES,validated,0.0170167361331252,1.1590165901932192e-18,,,,,extension_or_unmatched,other_csv,shooting/supersonic_shooting_core_band_M16_summary.csv,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M16_summary.csv,"extension point kept because best_status=validated, best_spectral_success=True, best_mode_success=True; not part of canonical FINAL23",False
M1.70_a0.100000,B_EXTENSION_VALIDATED_MODAL_SPECTRAL,1.7,0.1,0.4086724851271471,0.0255832924228237,0.0025583292422823,True,True,YES,validated,3.966230544132926e-06,2.0468394813472072e-19,,,,,extension_or_unmatched,other_csv,shooting/supersonic_shooting_core_band_M17_manual_summary.csv,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M17_manual_summary.csv,"extension point kept because best_status=validated, best_spectral_success=True, best_mode_success=True; not part of canonical FINAL23",False
M1.70_a0.125000,B_EXTENSION_VALIDATED_MODAL_SPECTRAL,1.7,0.125,0.4192415320846353,0.0221873441527381,0.0027734180190922,True,True,YES,validated,2.126825320674722e-06,1.0484868630338316e-20,,,,,extension_or_unmatched,other_csv,shooting/supersonic_shooting_core_band_M17_manual_summary.csv,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M17_manual_summary.csv,"extension point kept because best_status=validated, best_spectral_success=True, best_mode_success=True; not part of canonical FINAL23",False
M1.70_a0.150000,B_EXTENSION_VALIDATED_MODAL_SPECTRAL,1.7,0.15,0.4298105790421235,0.0187913958826526,0.0028187093823978,True,True,YES,validated,6.137244186249679e-07,5.716878123491789e-18,,,,,extension_or_unmatched,other_csv,shooting/supersonic_shooting_core_band_M17_manual_summary.csv,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M17_manual_summary.csv,"extension point kept because best_status=validated, best_spectral_success=True, best_mode_success=True; not part of canonical FINAL23",False
