Mach,alpha_neutral,cr_neutral,dalpha_neutral_dMach
1.0,0.3623506509887782,0.1729645200720569,-0.025786478193773308
1.001,0.3623231371081172,0.17376312515362943,-0.02922084482618441
1.002,0.36229225017572997,0.1745589282346898,-0.03253258164632298
1.003,0.36225811282142867,0.17535180043223034,-0.03572168865418756
1.004,0.36222084767502566,0.17614161286324406,-0.03878816584977956
1.005,0.3621805773663332,0.1769282366447234,-0.041732013233097616
1.006,0.36213742452516356,0.17771154289366145,-0.04455323080414304
1.007,0.36209151178132903,0.17849140272705058,-0.04725181856291458
1.008,0.3620429617646418,0.17926768726188383,-0.049827776509413425
1.009,0.36199189710491425,0.18004026761515357,-0.052281104643638436
1.01,0.36193844043195866,0.1808090149038529,-0.054611802965590706
1.011,0.36188271437558717,0.18157380024497422,-0.0568198714752692
1.012,0.36182484156561223,0.18233449475551056,-0.0589053101726749
1.013,0.36176494463184594,0.1830909695524543,-0.06086811905780688
1.014,0.36170314620410066,0.18384309575279853,-0.062708298130666
1.015,0.3616395689121887,0.1845907444735356,-0.06442584739125146
1.016,0.3615743353859222,0.18533378683165863,-0.066020766839564
1.017,0.3615075682551136,0.18607209394415997,-0.06749305647560294
1.018,0.36143939014957516,0.18680553692803264,-0.0688427162993689
1.019,0.361369923699119,0.18753398690026915,-0.07006974631086131
1.02,0.3612992915335575,0.1882573149778624,-0.07117414651008072
1.021,0.3612258455690105,0.18897690626546373,-0.07569501594206421
1.022,0.3611479470349571,0.18969418394415383,-0.0800792855227459
1.023,0.3610657325312488,0.1904090762455683,-0.08432695525212384
1.024,0.3609793386577367,0.1911215114013434,-0.08843802513019992
1.025,0.36088890201427215,0.19183141764311473,-0.09241249515697234
1.026,0.36079455920070647,0.19253872320251855,-0.0962503653324428
1.027,0.360696446816891,0.19324335631119055,-0.09995163565660967
1.028,0.360594701462677,0.19394524520076695,-0.10351630612947453
1.029,0.3604894597379158,0.19464431810288332,-0.10694437675103585
1.03,0.3603808582424587,0.195340503249176,-0.11023584752129512
1.031,0.360269033576157,0.19603372887128057,-0.11339071844025088
1.032,0.360154122338862,0.1967239232008333,-0.11640898950790454
1.033,0.360036261130425,0.19741101446946982,-0.11929066072425476
1.034,0.3599155865506972,0.19809493090882635,-0.1220357320893028
1.035,0.35979223519953013,0.19877560075053854,-0.12464420360304748
1.036,0.3596663436767749,0.19945295222624265,-0.12711607526548993
1.037,0.35953804858228294,0.20012691356757434,-0.1294513470766291
1.038,0.3594074865159055,0.2007974130061698,-0.13165001903646595
1.039,0.3592747940774938,0.20146437877366466,-0.13371209114499952
1.04,0.3591401078668992,0.20212773910169524,-0.13563756340223074
1.041,0.3590035644839731,0.2027874222218971,-0.13742643580815878
1.042,0.35886530052856663,0.20344335636590655,-0.1390787083627844
1.043,0.3587254526005313,0.20409546976535917,-0.14059438106610692
1.044,0.3585841572997182,0.2047436906518912,-0.14197345391812696
1.045,0.3584415512259788,0.20538794725713838,-0.1432159269188439
1.046,0.35829777097916427,0.20602816781273683,-0.14432180006825834
1.047,0.358152953159126,0.20666428055032224,-0.14529107336636976
1.048,0.3580072343657153,0.2072962137015308,-0.14612374681317855
1.049,0.3578607511987834,0.20792389549799828,-0.1468198204086844
1.05,0.3577136402581817,0.2085472541713608,-0.14737929415288764
1.051,0.3575637842657116,0.20916660360030873,-0.15230501513021338
1.052,0.35740908557923545,0.2097823652326448,-0.15706468216498248
1.053,0.3572497102526958,0.2103946286536725,-0.1616582952571929
1.054,0.3570858243400353,0.211003483448696,-0.16608585440684662
1.055,0.3569175938951964,0.2116090192030187,-0.17034735961394168
1.056,0.35674518497212154,0.21221132550194466,-0.17444281087848
1.057,0.35656876362475354,0.21281049193077745,-0.17837220820045974
1.058,0.35638849590703486,0.2134066080748211,-0.18213555157988265
1.059,0.356204547872908,0.2139997635193791,-0.18573284101674709
1.06,0.3560170855763155,0.21459004784975555,-0.18916407651105457
1.061,0.35582627507120007,0.2151775506512539,-0.1924292580628037
1.062,0.35563228241150413,0.2157623615091782,-0.1955283856719958
1.063,0.3554352736511703,0.2163445700088321,-0.19846145933862955
1.064,0.355235414844141,0.21692426573551946,-0.20122847906270627
1.065,0.355032872044359,0.21750153827454394,-0.20382944484422472
1.066,0.3548278113057667,0.21807647721120949,-0.206264356683186
1.067,0.3546203986823068,0.2186491721308197,-0.20853321457958912
1.068,0.35441080022792176,0.21921971261867856,-0.21063601853343505
1.069,0.35419918199655415,0.21978818826008967,-0.21257276854472282
1.07,0.35398571004214646,0.22035468864035695,-0.2143434646134533
1.071,0.3537705504186414,0.22091930334478405,-0.21594810673962578
1.072,0.35355386917998144,0.22148212195867492,-0.2173866949232409
1.073,0.3533358323801092,0.22204323406733315,-0.21865922916429803
1.074,0.353116606072967,0.22260272925606275,-0.2197657094627977
1.075,0.3528963563124977,0.22316069711016726,-0.2207061358187395
1.076,0.35267524915264375,0.2237172272149507,-0.2214805082321238
1.077,0.3524534506473477,0.22427240915571656,-0.22208882670295024
1.078,0.352231126850552,0.22482633251776896,-0.22253109123121922
1.079,0.35200844381619945,0.22537908688641137,-0.22280730181693031
1.08,0.3517855675982323,0.22593076184694785,-0.22291745846008382
1.081,0.3515626642505934,0.22648144698468195,-0.22286156116067965
1.082,0.3513398998272252,0.22703123188491767,-0.2226396099187177
1.083,0.35111744038207016,0.22758020613295857,-0.22225160473419825
1.084,0.3508954519690709,0.22812845931410858,-0.2216975456071209
1.085,0.3506741006421701,0.2286760810136714,-0.22097743253748608
1.086,0.3504535524553102,0.22922316081695096,-0.2200912655252934
1.087,0.35023397346243373,0.22976978830925082,-0.21903904457054318
1.088,0.35001552971748323,0.230316053075875,-0.2178207696732351
1.089,0.34979838727440143,0.23086204470212704,-0.2164364408333696
1.09,0.3495827121871307,0.231407852773311,-0.21488605805094607
1.091,0.3493686705096137,0.23195356687473034,-0.2131696213259653
1.092,0.34915642829579296,0.23249927659168917,-0.21128713065842636
1.093,0.34894615159961107,0.23304507150949097,-0.20923858604833023
1.094,0.34873800647501046,0.2335910412134398,-0.20702398749567594
1.095,0.34853215897593387,0.23413727528883918,-0.2046433350004644
1.096,0.34832877515632377,0.23468386332099314,-0.20209662856269478
1.097,0.34812802107012275,0.23523089489520527,-0.19938386818236792
1.098,0.3479300627712732,0.23577845959677954,-0.19650505385948283
1.099,0.34773506631371787,0.23632664701101946,-0.1934601855940407
1.1,0.3475431977513993,0.2368755467232291,-0.19024926338604023
1.101,0.3473538144997126,0.23742478865610517,-0.18853019519518371
1.102,0.3471661114505933,0.23797392004106763,-0.18688885825129856
1.103,0.3469800108727944,0.2385229064265042,-0.1853252525543855
1.104,0.3467954350350689,0.23907171336080307,-0.1838393781044438
1.105,0.34661230620616984,0.23962030639235202,-0.18243123490147417
1.106,0.34643054665485024,0.24016865106953927,-0.18110082294547597
1.107,0.34625007864986324,0.2407167129407525,-0.17984814223644977
1.108,0.34607082445996173,0.24126445755437997,-0.178673192774395
1.109,0.3458927063538988,0.2418118504588094,-0.1775759745593122
1.11,0.3457156466004274,0.242358857202429,-0.17655648759120093
1.111,0.3455395674683007,0.24290544333362651,-0.17561473187006157
1.112,0.34536439122627166,0.24345157440079013,-0.17475070739589374
1.113,0.34519004014309324,0.24399721595230764,-0.17396441416869785
1.114,0.34501643648751856,0.24454233353656715,-0.17325585218847347
1.115,0.34484350252830065,0.24508689270195652,-0.172625021455221
1.116,0.34467116053419244,0.24563085899686388,-0.17207192196894008
1.117,0.34449933277394706,0.24617419796967702,-0.17159655372963104
1.118,0.3443279415163175,0.24671687516878407,-0.17119891673729362
1.119,0.34415690903005686,0.24725885614257284,-0.17087901099192798
1.12,0.34398615758391804,0.24780010643943154,-0.17063683649353403
1.121,0.3438156094466542,0.24834059160774788,-0.17047239324211186
1.1219999999999999,0.3436451868870182,0.24888027719590994,-0.17038568123766137
1.123,0.3434748121737632,0.24941912875230587,-0.1703767004801826
1.124,0.3433044075756421,0.24995711182532346,-0.1704454509696756
1.125,0.34313389536140815,0.25049419196335054,-0.17059193270614026
1.126,0.34296319779981427,0.25103033471477537,-0.17081614568957662
1.127,0.3427922371596134,0.25156550562798585,-0.17111808991998478
1.1280000000000001,0.34262093570955854,0.2520996702513699,-0.1714977653973647
1.129,0.342449215718403,0.25263279413331546,-0.17195517212171624
1.13,0.34227699945489953,0.2531648428222105,-0.1724903100930395
1.131,0.3421042091878012,0.2536957818664431,-0.1731031793113346
1.1320000000000001,0.3419307671858612,0.2542255768144013,-0.17379377977660143
1.133,0.34175659571783235,0.25475419321447274,-0.17456211148883982
1.134,0.34158161705246787,0.25528159661504574,-0.1754081744480499
1.135,0.34140575345852064,0.2558077525645081,-0.17633196865423195
1.1360000000000001,0.34122892720474374,0.2563326266112479,-0.1773334941073857
1.137,0.3410510605598902,0.25685618430365287,-0.17841275080751096
1.138,0.34087207579271306,0.25737839119011124,-0.17956973875460794
1.139,0.3406918951719653,0.25789921281901096,-0.1808044579486769
1.1400000000000001,0.3405104409664,0.25841861473874006,-0.18211690838971759
1.141,0.34032763544477024,0.2589365624976862,-0.18350709007772972
1.142,0.3401434008758289,0.25945302164423756,-0.18497500301271355
1.143,0.3399576595283291,0.2599679577267822,-0.18652064719466943
1.1440000000000001,0.33977033367102394,0.26048133629370807,-0.18814402262359708
1.145,0.3395813455726662,0.2609931228934029,-0.18984512929949607
1.146,0.3393906175020093,0.26150328307425486,-0.19162396722236674
1.147,0.33919807172780586,0.26201178238465206,-0.19348053639220958
1.148,0.3390036305188092,0.2625185863729822,-0.19541483680902372
1.149,0.3388072161437722,0.26302366058763343,-0.19742686847281
1.15,0.3386087508714479,0.2635269705769936,-0.1995166313835675
1.151,0.33840803138126413,0.2640285672191373,-0.20190854515911158
1.152,0.3382049613887797,0.26452854672823695,-0.2042176359846038
1.153,0.3379996237169449,0.2650269426568278,-0.20644390386004513
1.154,0.3377921011887096,0.2655237885574448,-0.20858734878543458
1.155,0.337582476627024,0.2660191179826233,-0.21064797076077316
1.156,0.3373708328548381,0.2665129644848982,-0.2126257697860599
1.157,0.33715725269510194,0.2670053616168048,-0.2145207458612957
1.158,0.3369418189707656,0.26749634293087815,-0.2163328989864797
1.159,0.33672461450477903,0.2679859419796535,-0.21806222916161272
1.16,0.33650572212009233,0.2684741923156657,-0.21970873638669403
1.161,0.33628522463965566,0.2689611274914503,-0.22127242066172428
1.162,0.3360632048864189,0.26944678105954195,-0.22275328198670286
1.163,0.3358397456833322,0.2699311865724762,-0.22415132036163038
1.164,0.3356149298533456,0.27041437758278786,-0.2254665357865062
1.165,0.3353888402194092,0.27089638764301227,-0.22669892826133092
1.166,0.335161559604473,0.27137725030568444,-0.22784849778610405
1.167,0.334933170831487,0.27185699912333955,-0.22891524436082603
1.168,0.3347037567234014,0.2723356676485127,-0.2298991679854964
1.169,0.334473400103166,0.27281328943373906,-0.23080026866011563
1.17,0.33424218379373116,0.2732898980315537,-0.2316185463846833
1.171,0.3340101906180467,0.2737655269944918,-0.23235400115919974
1.172,0.33377750339906276,0.2742402098750884,-0.2330066329836647
1.173,0.33354420495972936,0.27471398022587884,-0.23357644185807838
1.174,0.33331037812299663,0.2751868715993979,-0.23406342778244058
1.175,0.3330761057118145,0.2756589175481811,-0.2344675907567515
1.176,0.33284147054913316,0.2761301516247633,-0.23478893078101098
1.177,0.3326065554579025,0.2766006073816798,-0.23502744785521917
1.178,0.33237144326107276,0.2770703183714655,-0.2351831419793759
1.179,0.3321362167815938,0.27753931814665583,-0.23525601315348127
1.18,0.3319009588424158,0.2780076402597856,-0.23524606137753534
1.181,0.3316657522664887,0.2784753182633902,-0.23515328665153798
1.182,0.3314306798767627,0.2789423857100045,-0.23497768897548924
1.183,0.3311958244961878,0.279408876152164,-0.23471926834938917
