Mach,n_points,alpha_previous,ci_previous,alpha_last,ci_last,alpha_neutral_secant,secant_slope_dci_dalpha,alpha_neutral_last3,last3_slope_dci_dalpha,alpha_neutral_selected,delta_alpha_from_last,fit_spread,cr_neutral_estimate,dcr_dalpha_last,selected_method,status
1.0,17,0.36118,7.418138648741771e-05,0.36168,4.249756816816001e-05,0.3623506509887782,-0.0633676366385009,0.3615698736248151,-0.48571127272603,0.3623506509887782,0.0006706509887782,,0.1729645200720569,-0.0597008836273892,last_two_secant,ok
1.02,16,0.35868,0.0007222351080002,0.36118,3.28930676554048e-05,0.3612992915335575,-0.2757368161379182,0.3608302640352038,-0.4746224104130097,0.3612992915335575,0.0001192915335574,,0.1882573149778624,0.346300880497807,last_two_secant,ok
1.05,16,0.35618,5.540571853500158e-05,0.35668,3.734225213881599e-05,0.3577136402581817,-0.0361269327923676,0.3565525473046718,-0.4563504718955914,0.3577136402581817,0.0010336402581817,,0.2085472541713608,0.6553564669866113,last_two_secant,ok
1.1,15,0.34618,0.0005495419916363,0.34743,4.563308418674561e-05,0.3475431977513993,-0.4031271259596334,0.3474291777653089,-0.4952076481482091,0.3475431977513993,0.0001131977513993,,0.2368755467232291,0.293774963911113,last_two_secant,ok
1.15,16,0.33718,5.5920533416527975e-05,0.33768,3.6350804874611176e-05,0.3386087508714479,-0.0391394570838289,0.3376147612949982,-0.3278292650120168,0.3386087508714479,0.0009287508714479,,0.2635269705769936,0.3755483421865598,last_two_secant,ok
1.2,14,0.32618,0.0003173330658171,0.32718,3.817263835999999e-05,0.3273167408651279,-0.2791604274570911,0.3271118122930188,-0.4433251386919593,0.3273167408651279,0.0001367408651279,,0.287283444393795,0.2860996495359089,last_two_secant,ok
1.25,14,0.31618,0.000202961065093,0.31668,4.307277838254402e-05,0.3168146964786124,-0.31977657342092,0.3167071354705167,-0.4549746169640973,0.3168146964786124,0.0001346964786123,0.0001075610080956,0.3097455009003375,0.4212500150043703,last_two_secant,ok
1.3,13,0.30618,0.0002345930726577,0.30718,3.156104531467519e-05,0.3073354486044772,-0.2030320273430227,0.3070585154062039,-0.3935121203149755,0.3073354486044772,0.0001554486044772,,0.3310325407167347,0.4477860502187232,last_two_secant,ok
1.35,13,0.29618,0.0004267317867512,0.29718,4.397156994415999e-05,0.2972948801991778,-0.3827602168070143,0.2972491334207653,-0.4188039460619289,0.2972948801991778,0.0001148801991778,4.574677841251429e-05,0.3505751981554722,0.3140854831786829,last_two_secant,ok
1.4,12,0.28618,0.0007706121473031,0.28868,2.755876242219201e-05,0.2887727213406968,-0.2972213539523639,0.288625792009428,-0.3532720718255945,0.2887727213406968,9.272134069687744e-05,,0.3696661008299094,0.3593394901902021,last_two_secant,ok
1.45,12,0.27868,0.0002719401630543,0.27968,3.644441741551359e-05,0.2798347561605271,-0.235495745638783,0.2796108513939059,-0.3723121731196324,0.2798347561605271,0.0001547561605271,,0.3870859582683313,0.2585775078968175,last_two_secant,ok
1.5,11,0.26868,0.0009044036472422,0.27118,3.569376927327999e-05,0.2712827206268125,-0.3474839511875774,0.2712331382463335,-0.3638437040862177,0.2712827206268125,0.0001027206268125,4.958238047897412e-05,0.4039190269033091,0.2838396939377038,last_two_secant,ok
1.55,9,0.2436799999999999,0.0068684797091497,0.2636799999999999,3.378275418600001e-05,0.2637788566264416,-0.3417348477481852,0.2637602446454235,-0.3426775550412461,0.2637788566264416,9.885662644171234e-05,1.86119810181018e-05,0.4198141819381105,0.2521040461368665,last_two_secant,ok
1.6,11,0.2536799999999999,0.0007126142643161,0.2561799999999999,3.4235312504908784e-05,0.2563061658856508,-0.2713515807244718,0.2561444013452962,-0.3168669296447907,0.2563061658856508,0.0001261658856508,,0.4349698547365022,0.1895690488036059,last_two_secant,ok
1.65,10,0.2461799999999999,0.0008082019607969,0.2486799999999999,4.752014493772433e-05,0.2488361761565313,-0.3042727263436571,0.2488125642568792,-0.3117108410611332,0.2488361761565313,0.0001561761565314,2.361189965208177e-05,0.4494458966611677,0.2194713110755584,last_two_secant,ok
1.7,8,0.22368,0.0055034359977069,0.2436799999999999,2.3682691791177607e-05,0.2437664370728717,-0.2739876652957871,0.2435710281711291,-0.2821520630133962,0.2437664370728717,8.643707287184221e-05,,0.4634037120555396,0.2273404461510957,last_two_secant,ok
1.75,11,0.23368,0.0005423068851156,0.23618,3.154915007039999e-05,0.2363344232612923,-0.2043030940180839,0.2361643377891607,-0.2468006058514769,0.2363344232612923,0.0001544232612923,,0.4766002000054765,0.22354325321956,last_two_secant,ok
1.8,10,0.22868,0.0002101651117836,0.22968,4.063792773603518e-05,0.2299197133413401,-0.1695271840475639,0.22970524100966,-0.2518043029880493,0.2299197133413401,0.0002397133413401,0.0002144723316801,0.4890319659801042,0.1558032475021951,last_two_secant,ok
1.85,7,0.20368,0.0051539426455622,0.22368,4.219432611358631e-05,0.2238450876509434,-0.2555874159724319,0.2240089182000836,-0.2496017796732952,0.2238450876509434,0.0001650876509434,0.0001638305491402,0.5010350310274788,0.226026126449791,last_two_secant,ok
